#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 -1153.190003365687 321.9419393890926 -1259.821496800176 -0.0008443088001608757 -0.003158403989803788 -3.427012307865717e-05
2458850.194000000 -1188.527161581364 129.3277388920199 -1261.475930066215 -0.0003318489188927637 -0.003252539172590843 -2.079475523726984e-05
2458850.888000000 -1192.817775966004 -66.45931963454245 -1262.304603561767 0.0001890398088352242 -0.003264009310870594 -6.78616416230197e-06
2458851.582000000 -1165.953123255852 -260.4432662815519 -1262.286266826396 0.0007051185406818568 -0.003192524980602632 7.396475035295396e-06
2458852.276000000 -1108.616298485963 -447.6940734330821 -1261.42138849164 0.001203271322411223 -0.003039904708698048 2.138946002165024e-05
2458852.970000000 -1022.26482151817 -623.4529268291531 -1259.732147210107 0.001670838222907942 -0.002810028587561028 3.483392065446148e-05
2458853.664000000 -909.0935756038441 -783.2531375645913 -1257.261863452098 0.002095936829805826 -0.002508739576911285 4.738506736908974e-05
2458854.358000000 -771.9790219100267 -923.0336273952738 -1254.073886351343 0.002467763968096799 -0.002143695014264652 5.872107812079908e-05
2458855.052000000 -614.4061076547334 -1039.242108913068 -1250.249964582475 0.002776870011551015 -0.001724172109151469 6.855138253259081e-05
2458855.746000000 -440.3797230433868 -1128.925343737942 -1245.888144176033 0.003015398852449858 -0.001260832352093053 7.662412185364281e-05
2458856.440000000 -254.3229528674725 -1189.804189135648 -1241.100248634264 0.003177287460614242 -0.0007654508007206244 8.273259174302689e-05
2458857.134000000 -60.96470279407109 -1220.331528267816 -1236.009007300824 0.003258419977124497 -0.0002506170885128532 8.672050811776497e-05
2458857.828000000 134.7804501318648 -1219.731612050008 -1230.744906480682 0.003256732427898567 0.0002705842837645491 8.848597088334889e-05
2458858.522000000 327.9371352633316 -1188.019810731321 -1225.442844291481 0.003172265381656989 0.000784906285240109 8.798403420046287e-05
2458859.216000000 513.5956254520609 -1126.002269196241 -1220.238674719591 0.003007163187098933 0.001279275903303842 8.522782470420489e-05
2458859.910000000 687.0366230300917 -1035.255469341834 -1215.265728889458 0.002765619774110479 0.001741126367165566 8.028818179201121e-05
2458860.604000000 843.8512240400494 -918.0862128832455 -1210.651402097156 0.002453772359769386 0.002158716607533955 7.329182806406194e-05
2458861.298000000 980.0530104623563 -777.4730356817394 -1206.513893608977 0.002079545726821643 0.002521429825373086 6.441811386183457e-05
2458861.992000000 1092.179418440641 -616.9905373838321 -1202.959182480218 0.001652451004946326 0.002820043563729361 5.389441694859899e-05
2458862.686000000 1177.379801641843 -440.7185456761662 -1200.078316687248 0.001183344049933589 0.00304696439385563 4.199031487949422e-05
2458863.380000000 1233.487946184066 -253.1384215073244 -1197.9450847912 0.000684149551848042 0.003196421222386837 2.901068114514733e-05
2458864.074000000 1259.07718841497 -59.01914020186859 -1196.61412940968 0.0001675578831706654 0.003264612276965166 1.528788463275215e-05
2458864.768000000 1253.496729173361 136.7039550109353 -1196.119550310943 -0.0003532976010258264 0.003249802006412879 1.17329406419263e-06
2458865.462000000 1216.888216729508 329.0546426997509 -1196.474032356163 -0.0008651745947307084 0.003152365408030917 -1.297169543437206e-05
2458866.156000000 1150.182173140322 513.1423626511472 -1197.668520185366 -0.001355058694374276 0.002974778636112602 -2.678488712732447e-05
2458866.850000000 1055.074352416824 684.2865838397704 -1199.672447816118 -0.001810494487705066 0.002721556117884619 -3.991252830830836e-05
2458867.544000000 933.9826305199722 838.1358344674511 -1202.434517497124 -0.002219902436115189 0.00239913577050767 -5.201834682490303e-05
2458868.238000000 789.9855236411628 970.7783632246744 -1205.884008490129 -0.00257287346935503 0.002015715240153376 -6.279215318774427e-05
2458868.932000000 626.7438997355144 1078.841614092494 -1209.932583182477 -0.002860433780386733 0.001581043337145081 -7.195779159033396e-05
2458869.626000000 448.407876790145 1159.577982259189 -1214.476545303474 -0.003075273070222357 0.001106171987101503 -7.928023600444189e-05
2458870.320000000 259.5112788211364 1210.934668720881 -1219.399493297611 -0.003211930428188851 0.0006031750271577201 -8.457164512425911e-05
2458871.014000000 64.85633740100599 1231.605856874343 -1224.575301405243 -0.003266933117840036 8.484102233514378e-05 -8.769621306484738e-05
2458871.708000000 -130.6084254953155 1221.065885425538 -1229.871352068817 -0.003238884744309923 -0.0004356520620546611 -8.857368202932537e-05
2458872.402000000 -321.914024676117 1179.582576582761 -1235.151936297393 -0.003128500573642278 -0.000945072037485679 -8.718141874411737e-05
2458873.096000000 -504.197346902909 1108.210384283346 -1240.281733938957 -0.0029385891246357 -0.001430468979373082 -8.355499740229932e-05
2458873.790000000 -672.8247803306649 1008.763541107637 -1245.129283691044 -0.002673980523872622 -0.001879504459225335 -7.778727598916886e-05
2458874.484000000 -823.5099947038902 883.7698914093885 -1249.570353225874 -0.002341403469623746 -0.002280765149752596 -7.002599704110455e-05
2458875.178000000 -952.4228789542525 736.4065890603731 -1253.491122917494 -0.001949313955844782 -0.002624052836559623 -6.046998473930904e-05
2458875.872000000 -1056.286868944971 570.4192986737307 -1256.791102051171 -0.001507680130978108 -0.0029006434767588 -4.936404522010271e-05
2458876.566000000 -1132.462194383748 390.0269575912912 -1259.385703683993 -0.001027728777298672 -0.003103508736793124 -3.699270522299178e-05
2458877.260000000 -1179.012932723699 199.8145218198043 -1261.208413126152 -0.0005216598675913789 -0.00322749439866015 -2.367294672353201e-05
2458877.954000000 -1194.756170094521 4.616423247943885 -1262.212495048859 -2.336462436616686e-06 -0.003269451121835387 -9.746114305451319e-06
2458878.648000000 -1179.292024417764 -190.6062997775928 -1262.372195364643 0.0005170421674190141 -0.003228314259992014 4.430809955998684e-06
2458879.342000000 -1133.013772247178 -380.8920769806788 -1261.68340624404 0.001023275889371381 -0.003105130726415053 1.849435135551389e-05
2458880.036000000 -1057.09782610932 -561.4048841297067 -1260.163775907823 0.001503499016348823 -0.002903032246457569 3.208387749310251e-05
2458880.730000000 -953.4738202846306 -727.5571238727333 -1257.85225902483 0.001945507071215267 -0.002627155694434814 4.485088055589375e-05
2458881.424000000 -824.7755670940712 -875.126190979262 -1254.808118314024 0.002338066730960081 -0.002284512550778619 5.64679585999422e-05
2458882.118000000 -674.2741301041547 -1000.361764465698 -1251.109402757153 0.002671201105946861 -0.00188381079892679 6.663725210971584e-05
2458882.812000000 -505.7947131912671 -1100.081104500014 -1246.850942025466 0.00293644313660342 -0.001435233778769783 7.509810782345183e-05
2458883.506000000 -323.619473881436 -1171.749935928641 -1242.141909676961 0.00312705069496681 -0.00095018159592295 8.163376716266148e-05
2458884.200000000 -132.3787257665933 -1213.546865016111 -1237.103018901006 0.003238177941191386 -0.0004409816286490047 8.607690846223153e-05
2458884.894000000 63.06671071845449 -1224.409692514887 -1231.863423791271 0.00326699858294456 7.942454495073333e-05 8.831390703368809e-05
2458885.588000000 257.749024638596 -1204.062444200558 -1226.557406224279 0.0032127778933769 0.0005978098764945197 8.82877122502274e-05
