#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 -1560.908999281527 424.1916433636267 -635.8211585520025 -0.001122527185067091 -0.004198885092409624 -4.556184100708988e-05
2458850.194000000 -1607.889358973357 168.1232616889242 -638.0206722194234 -0.0004411596584598268 -0.004324053675108425 -2.764500885210522e-05
2458850.888000000 -1613.589970239358 -92.16375601064158 -639.1222496682142 0.0002514208769103183 -0.004339297599310194 -9.018994556798422e-06
2458851.582000000 -1577.866110222454 -350.0525089604296 -639.0976288345718 0.000937605403724059 -0.004244230496739566 9.83846975600132e-06
2458852.276000000 -1501.62626727185 -598.9871634459116 -637.9474362878435 0.00159994808414898 -0.00404127124943913 2.844361769563245e-05
2458852.970000000 -1386.809001315897 -832.6396636715988 -635.7011753568283 0.002221610061409743 -0.003735582248942878 4.63191164997781e-05
2458853.664000000 -1236.333603178146 -1045.070634385399 -632.4164694233095 0.002786787725153903 -0.00333493782283443 6.300638667683313e-05
2458854.358000000 -1054.02581419883 -1230.880380784821 -628.1775793527734 0.003281114532794636 -0.002849526215236722 7.807743792600716e-05
2458855.052000000 -844.5205022644791 -1385.346145618267 -623.0932338547468 0.003692026168333851 -0.002291690200729388 9.114589822354572e-05
2458855.746000000 -613.1437758624379 -1504.542135443462 -617.2938301946508 0.004009079768023851 -0.001675612968119681 0.0001018769400495412
2458856.440000000 -365.7775393996347 -1585.43926833184 -610.9280793204298 0.004224219121759198 -0.001016957293494646 0.0001099958462470163
2458857.134000000 -108.7099376984182 -1625.982112553836 -604.1591835771208 0.004331979139346952 -0.0003324671981795907 0.0001152950030308685
2458857.828000000 151.5245056152419 -1625.141066629772 -597.1606465194325 0.004329624416850017 0.0003604577705490881 0.0001176391545008796
2458858.522000000 408.3109911083379 -1582.938460911714 -590.1118228832413 0.004217218412293208 0.001044204812376172 0.0001169687987730516
2458859.216000000 655.1225663313905 -1500.44792362671 -583.1933226363878 0.003997621501148571 0.00170139546406766 0.0001133016500035852
2458859.910000000 885.6859971157468 -1379.767033368309 -576.5823862581158 0.003676417986666011 0.002315327141699427 0.0001067321344208694
2458860.604000000 1094.141174773926 -1223.96395814232 -570.448348961517 0.003261773942555523 0.002870397429263402 9.742893373796834e-05
2458861.298000000 1275.190012082582 -1036.99944109775 -564.9483093591649 0.002764229519550751 0.00335250035164263 8.563063682128728e-05
2458861.992000000 1424.231049073076 -823.6261181903051 -560.2231129567718 0.002196431007456803 0.003749384586987385 7.163960939068469e-05
2458862.686000000 1537.476353377222 -589.2677274535858 -556.3937528293869 0.001572809467889808 0.004050964544455783 5.581423943737981e-05
2458863.380000000 1612.04774993305 -339.8812787509309 -553.5582790370155 0.0009092141014181526 0.004249576432652456 3.855975987917593e-05
2458864.074000000 1646.049939661278 -81.80568409353774 -551.7892951037493 0.0002225096529617759 0.004340172840314117 2.031788699993916e-05
2458864.768000000 1638.618652943377 178.3993089055065 -551.1321046791512 -0.0004698519363979561 0.004320450908008003 1.555541835180328e-06
2458865.462000000 1589.942616557922 434.1197926135459 -551.6035548418104 -0.001150274776046869 0.004190910848588987 -1.724705842397092e-05
2458866.156000000 1501.258776240451 678.8557542159286 -553.191604897388 -0.001801465941296774 0.003954843333166844 -3.560864003148648e-05
2458866.850000000 1374.820894590282 906.3862448333834 -555.8556314141431 -0.002406874734810281 0.0036182460550378 -5.305913928526675e-05
2458867.544000000 1213.842318688865 1110.927470458669 -559.5274620073121 -0.002951113161509866 0.003189671572330131 -6.915169292837932e-05
2458868.238000000 1022.414366611551 1287.279790648292 -564.113112358499 -0.003420346953951888 0.002680010267017234 -8.347405515602541e-05
2458868.932000000 805.4024005809239 1430.959890834089 -569.4951834410695 -0.003802647222755061 0.00210221390059309 -9.565915507405624e-05
