#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 47.47827674926869 6.111462572080313 -1737.340629600928 8.091676833133348e-07 2.553933322671627e-06 3.109704234017804e-08
2458850.194000000 47.51018212743136 6.268539372631949 -1737.339197741291 2.497698106353345e-07 2.66720444087086e-06 1.645394594379787e-08
2458850.888000000 47.50784406091548 6.429077321760587 -1737.338675019201 -3.288677051915682e-07 2.668363225727989e-06 8.814158504921137e-10
2458851.582000000 47.47086911508867 6.586234706029131 -1737.3390970383 -9.01200828746802e-07 2.554501193978977e-06 -1.494022796800003e-08
2458852.276000000 47.4004112351166 6.733190030041669 -1737.340457471351 -1.441463730129115e-06 2.329218915744963e-06 -3.030085426316898e-08
2458852.970000000 47.29913061258077 6.863530125353236 -1737.342707757313 -1.925479114879005e-06 2.002463883325975e-06 -4.451022622827347e-08
2458853.664000000 47.1710465980049 6.971612728728132 -1737.34575976655 -2.332354701064006e-06 1.589846941249433e-06 -5.694653154586557e-08
2458854.358000000 47.02129625204944 7.052873814746249 -1737.349491227867 -2.645909717720492e-06 1.111497113476981e-06 -6.709925457998374e-08
2458855.052000000 46.85581881862964 7.104054941726076 -1737.353753455588 -2.855700274514024e-06 5.905595733773711e-07 -7.4602427254386e-08
2458855.746000000 46.68099315802816 7.123333252757334 -1737.358380703633 -2.9575515078098e-06 5.147620670787255e-08 -7.925524235814296e-08
2458856.440000000 46.50325926566142 7.110345833172119 -1737.363200329685 -2.953553518760802e-06 -4.817910840308215e-07 -8.10282882922952e-08
2458857.134000000 46.32875597538638 7.066109944226696 -1737.368042891324 -2.851531911312885e-06 -9.874298135082745e-07 -8.005512376538991e-08
2458857.828000000 46.16300470381761 6.992850226209157 -1737.3727513238 -2.664056187780339e-06 -1.44718703608845e-06 -7.66103879659673e-08
2458858.522000000 46.01066389306364 6.893752314621452 -1737.377188461718 -2.407094509516797e-06 -1.847396050184871e-06 -7.107697053541783e-08
2458859.216000000 45.87537123878268 6.772668597454299 -1737.381242351193 -2.098456474011609e-06 -2.179535908075141e-06 -6.39058034407571e-08
2458859.910000000 45.75968168389479 6.633805443813799 -1737.384829034006 -1.756183247692947e-06 -2.440288270280405e-06 -5.557248019631975e-08
2458860.604000000 45.66509949581775 6.481421828154794 -1737.387892745636 -1.397045164597937e-06 -2.631107272768436e-06 -4.65351018555135e-08
2458861.298000000 45.59219353663988 6.319566852043636 -1737.390403727188 -1.035291217658395e-06 -2.757366685101475e-06 -3.719748913411744e-08
2458861.992000000 45.54077701041672 6.151878528489874 -1737.392354081213 -6.817648999917243e-07 -2.827189812049568e-06 -2.788122755978307e-08
2458862.686000000 45.51012728729824 5.981458914326595 -1737.393752280568 -3.434600866490409e-07 -2.850097311300354e-06 -1.880900756549009e-08
2458863.380000000 45.49921838055952 5.810832030727624 -1737.394617051022 -2.354343498759765e-08 -2.835623591528882e-06 -1.010049191499072e-08
2458864.074000000 45.50693853450753 5.641981901086865 -1737.394971382571 2.781791115762619e-07 -2.79205239363313e-06 -1.780613729541226e-09
2458864.768000000 45.53226812551577 5.476459393492632 -1737.394837379189 5.64419938975557e-07 -2.725406739500263e-06 6.201089369789037e-09
2458865.462000000 45.57439836542009 5.315539259768798 -1737.394232537914 8.392980358144007e-07 -2.638799326190265e-06 1.394263959258051e-08
2458866.156000000 45.63277856153123 5.160403551755735 -1737.393167868441 1.107091581850914e-06 -2.532209633263643e-06 2.155668740346386e-08
2458866.850000000 45.70708817263386 5.012324993458265 -1737.391648042818 1.371001739907874e-06 -2.402707535021684e-06 2.91364048158455e-08
2458867.544000000 45.79713872421937 4.872824155127432 -1737.38967352446 1.632072495635676e-06 -2.245094796832676e-06 3.672423020946078e-08
2458868.238000000 45.90271888867041 4.743777379360154 -1737.387244391648 1.888394196048298e-06 -2.052890457007488e-06 4.428717481858069e-08
2458868.932000000 46.0234028323653 4.627458024119619 -1737.384365367654 2.134687806574477e-06 -1.819548462535699e-06 5.170169278636958e-08
2458869.626000000 46.15834656462614 4.526501125633445 -1737.381051419055 2.362326022009901e-06 -1.539769978242696e-06 5.875008973964926e-08
2458870.320000000 46.30609900364723 4.443790256114085 -1737.37733320175 2.559800562569748e-06 -1.210761249829539e-06 6.512920772768805e-08
2458871.014000000 46.46445359453714 4.382274249112243 -1737.373261629339 2.713597241385065e-06 -8.332919680186136e-07 7.047080893160478e-08
2458871.708000000 46.63036266982402 4.344729658934966 -1737.368910911402 2.80939672387024e-06 -4.124282887982297e-07 7.437182620654623e-08
2458872.402000000 46.79993071570534 4.333491456206502 -1737.364379552201 2.833483772439906e-06 4.215303990682636e-08 7.643158547246052e-08
2458873.096000000 46.96849491838601 4.350178850137013 -1737.359788998546 2.774224594434849e-06 5.16320992879765e-07 7.629233925442997e-08
2458873.790000000 47.13079259980644 4.395444813102472 -1737.355279858961 2.623462749672033e-06 9.921211681426631e-07 7.367905348696667e-08
2458874.484000000 47.28120627675253 4.46877668218724 -1737.351005861504 2.377689546614356e-06 1.44883736553325e-06 6.843439244562507e-08
2458875.178000000 47.41406895370332 4.568371229294257 -1737.347125950817 2.038864224072757e-06 1.864395949106023e-06 6.054524173674575e-08
2458875.872000000 47.52400566897697 4.691101200585877 -1737.343795123665 1.614790577347689e-06 2.216989422341333e-06 5.015785507595024e-08
2458876.566000000 47.60628289438183 4.832582132960738 -1737.341154747365 1.118997214653332e-06 2.48677169669944e-06 3.757973858538357e-08
2458877.260000000 47.65713558722888 4.987339039181506 -1737.339323182702 5.701147888205329e-07 2.657467645391577e-06 2.326760776373506e-08
2458877.954000000 47.67404272897988 5.149063195774147 -1737.338387533666 -9.208691765655796e-09 2.717744773605799e-06 7.802063272089134e-09
2458878.648000000 47.65592602435183 5.310940674203493 -1737.338397268626 -5.937683304583563e-07 2.662214912747794e-06 -8.149082637327e-09
2458879.342000000 47.60325278430275 5.466027272606993 -1737.339360306503 -1.157514467724768e-06 2.491967093072596e-06 -2.387575776105025e-08
2458880.036000000 47.51803232994339 5.607639839476406 -1737.341241949583 -1.675365430727467e-06 2.214576202321721e-06 -3.867491390849704e-08
2458880.730000000 47.4037047669427 5.729732126905219 -1737.343966790722 -2.124957242504863e-06 1.843581628044968e-06 -5.189969206262382e-08
2458881.424000000 47.26493076894306 5.827224494888583 -1737.347423451652 -2.488170235050827e-06 1.397480956830182e-06 -6.300395485709646e-08
2458882.118000000 47.10730008245678 5.89626093165657 -1737.351471748295 -2.752292639497138e-06 8.983307860106732e-07 -7.157807996163839e-08
2458882.812000000 46.93698387330812 5.934373573748417 -1737.355951656184 -2.910716248196189e-06 3.700848390374592e-07 -7.737275702448196e-08
2458883.506000000 46.76036097877323 5.940543543271019 -1737.360693288399 -2.963105664403728e-06 -1.631752769281003e-07 -8.030873546439894e-08
2458884.200000000 46.58365007069328 5.915156598010185 -1737.365527017418 -2.91503547129797e-06 -6.789519726181341e-07 -8.047189690656594e-08
2458884.894000000 46.41257846327017 5.859861824735162 -1737.370292879381 -2.777142975862234e-06 -1.157829040523543e-06 -7.809451158520473e-08
2458885.588000000 46.25211396559524 5.777350400889759 -1737.374848492995 -2.563892038089942e-06 -1.58462083723203e-06 -7.352491414346258e-08
2458886.282000000 46.10627927404818 5.671078412143856 -1737.379074894465 -2.292080624489578e-06 -1.94907664562934e-06 -6.7188950049421e-08
2458886.976000000 45.97805969104976 5.544962151764025 -1737.382879915012 -1.979247259781558e-06 -2.246089980276216e-06 -5.954728447003682e-08
2458887.670000000 45.8694053904115 5.403075825722226 -1737.386198984196 -1.642137437095605e-06 -2.475413397177412e-06 -5.105296343767884e-08
