#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 -47.47827674926889 -6.111462572080313 1737.340629600928 -8.091676833134812e-07 -2.553933322672175e-06 -3.109704234018407e-08
2458850.194000000 -47.51018212743158 -6.268539372631949 1737.339197741291 -2.49769810635392e-07 -2.667204440871423e-06 -1.645394594380147e-08
2458850.888000000 -47.50784406091569 -6.429077321760587 1737.338675019201 3.288677051916011e-07 -2.668363225728555e-06 -8.81415850493596e-10
2458851.582000000 -47.47086911508888 -6.586234706029131 1737.3390970383 9.012008287469242e-07 -2.554501193979531e-06 1.49402279680013e-08
2458852.276000000 -47.4004112351168 -6.733190030041669 1737.340457471351 1.441463730129323e-06 -2.32921891574549e-06 3.030085426317269e-08
2458852.970000000 -47.29913061258095 -6.863530125353236 1737.342707757313 1.925479114879295e-06 -2.002463883326462e-06 4.45102262282795e-08
2458853.664000000 -47.17104659800506 -6.97161272872836 1737.34575976655 2.33235470106437e-06 -1.589846941249868e-06 5.694653154587372e-08
2458854.358000000 -47.02129625204958 -7.052873814746476 1737.349491227867 2.645909717720919e-06 -1.111497113477352e-06 6.70992545799939e-08
2458855.052000000 -46.85581881862976 -7.104054941726304 1737.353753455588 2.855700274514505e-06 -5.905595733776697e-07 7.460242725439788e-08
2458855.746000000 -46.68099315802824 -7.123333252757448 1737.358380703633 2.957551507810323e-06 -5.147620670809093e-08 7.925524235815624e-08
2458856.440000000 -46.50325926566148 -7.110345833172346 1737.363200329685 2.953553518761352e-06 4.817910840306889e-07 8.102828829230952e-08
2458857.134000000 -46.32875597538639 -7.06610994422681 1737.368042891324 2.85153191131345e-06 9.87429813508231e-07 8.0055123765405e-08
2458857.828000000 -46.16300470381759 -6.992850226209384 1737.3727513238 2.664056187780903e-06 1.447187036088497e-06 7.661038796598255e-08
2458858.522000000 -46.01066389306358 -6.893752314621679 1737.377188461718 2.407094509517347e-06 1.847396050185007e-06 7.107697053543308e-08
2458859.216000000 -45.8753712387826 -6.772668597454413 1737.381242351193 2.09845647401213e-06 2.179535908075363e-06 6.390580344077203e-08
2458859.910000000 -45.75968168389468 -6.633805443814026 1737.384829034006 1.756183247693426e-06 2.440288270280707e-06 5.557248019633404e-08
2458860.604000000 -45.66509949581761 -6.481421828155021 1737.387892745636 1.397045164598362e-06 2.63110727276881e-06 4.653510185552621e-08
2458861.298000000 -45.59219353663971 -6.319566852043863 1737.390403727188 1.035291217658755e-06 2.757366685101912e-06 3.719748913412887e-08
2458861.992000000 -45.54077701041653 -6.151878528489874 1737.392354081213 6.817648999920106e-07 2.827189812050057e-06 2.788122755979239e-08
2458862.686000000 -45.51012728729804 -5.981458914326595 1737.393752280568 3.434600866492459e-07 2.850097311300883e-06 1.880900756549729e-08
2458863.380000000 -45.49921838055931 -5.810832030727624 1737.394617051022 2.354343498771614e-08 2.835623591529436e-06 1.01004919149958e-08
2458864.074000000 -45.50693853450731 -5.641981901086865 1737.394971382571 -2.781791115762329e-07 2.792052393633696e-06 1.780613729543767e-09
2458864.768000000 -45.53226812551556 -5.476459393492632 1737.394837379189 -5.644199389756182e-07 2.725406739500826e-06 -6.201089369788825e-09
2458865.462000000 -45.5743983654199 -5.315539259768798 1737.394232537914 -8.392980358145506e-07 2.638799326190811e-06 -1.394263959258274e-08
2458866.156000000 -45.63277856153103 -5.160403551755735 1737.393167868441 -1.107091581851148e-06 2.532209633264158e-06 -2.155668740346873e-08
2458866.850000000 -45.70708817263369 -5.012324993458265 1737.391648042818 -1.371001739908188e-06 2.402707535022156e-06 -2.913640481585238e-08
2458867.544000000 -45.79713872421921 -4.872824155127319 1737.389673524459 -1.632072495636061e-06 2.245094796833092e-06 -3.672423020946989e-08
2458868.238000000 -45.90271888867029 -4.743777379359926 1737.387244391648 -1.888394196048744e-06 2.052890457007838e-06 -4.428717481859159e-08
2458868.932000000 -46.0234028323652 -4.627458024119392 1737.384365367654 -2.134687806574972e-06 1.819548462535973e-06 -5.170169278638196e-08
2458869.626000000 -46.15834656462606 -4.526501125633217 1737.381051419055 -2.362326022010433e-06 1.539769978242887e-06 -5.875008973966292e-08
2458870.320000000 -46.30609900364719 -4.443790256113857 1737.37733320175 -2.559800562570305e-06 1.210761249829644e-06 -6.512920772770266e-08
2458871.014000000 -46.46445359453714 -4.382274249112015 1737.373261629339 -2.713597241385631e-06 8.332919680186284e-07 -7.047080893162003e-08
2458871.708000000 -46.63036266982405 -4.344729658934739 1737.368910911402 -2.809396723870802e-06 4.124282887981543e-07 -7.437182620656157e-08
2458872.402000000 -46.7999307157054 -4.333491456206275 1737.364379552201 -2.833483772440448e-06 -4.215303990699004e-08 -7.643158547247562e-08
2458873.096000000 -46.96849491838611 -4.350178850136786 1737.359788998546 -2.774224594435358e-06 -5.163209928800128e-07 -7.629233925444437e-08
2458873.790000000 -47.13079259980657 -4.395444813102245 1737.355279858961 -2.623462749672496e-06 -9.921211681429888e-07 -7.367905348698011e-08
2458874.484000000 -47.28120627675267 -4.468776682187013 1737.351005861504 -2.377689546614761e-06 -1.448837365533645e-06 -6.843439244563725e-08
2458875.178000000 -47.41406895370349 -4.56837122929403 1737.347125950817 -2.038864224073095e-06 -1.864395949106478e-06 -6.054524173675645e-08
2458875.872000000 -47.52400566897715 -4.691101200585877 1737.343795123665 -1.61479057734795e-06 -2.216989422341835e-06 -5.015785507595881e-08
2458876.566000000 -47.60628289438203 -4.832582132960738 1737.341154747365 -1.11899721465351e-06 -2.486771696699979e-06 -3.757973858538992e-08
2458877.260000000 -47.65713558722909 -4.987339039181506 1737.339323182702 -5.701147888206233e-07 -2.657467645392137e-06 -2.326760776373909e-08
2458877.954000000 -47.6740427289801 -5.149063195774147 1737.338387533666 9.208691765655392e-09 -2.717744773606366e-06 -7.80206327209104e-09
2458878.648000000 -47.65592602435204 -5.310940674203493 1737.338397268626 5.937683304584459e-07 -2.662214912748354e-06 8.149082637327424e-09
2458879.342000000 -47.60325278430295 -5.466027272606993 1737.339360306503 1.157514467724945e-06 -2.491967093073133e-06 2.387575776105353e-08
2458880.036000000 -47.51803232994357 -5.607639839476406 1737.341241949583 1.675365430727728e-06 -2.214576202322225e-06 3.867491390850276e-08
2458880.730000000 -47.40370476694287 -5.729732126905446 1737.343966790722 2.1249572425052e-06 -1.843581628045423e-06 5.189969206263166e-08
2458881.424000000 -47.2649307689432 -5.827224494888696 1737.347423451652 2.488170235051231e-06 -1.397480956830578e-06 6.300395485710641e-08
2458882.118000000 -47.10730008245691 -5.896260931656798 1737.351471748295 2.752292639497601e-06 -8.983307860109996e-07 7.157807996164998e-08
2458882.812000000 -46.93698387330822 -5.934373573748644 1737.355951656184 2.910716248196698e-06 -3.700848390377078e-07 7.737275702449497e-08
2458883.506000000 -46.76036097877329 -5.940543543271247 1737.360693288399 2.96310566440427e-06 1.631752769279358e-07 8.030873546441309e-08
