# rho_min  rho_max   fraction
#  kg/m^3   kg/m^3
   100.00   150.00  1.262e-09
   150.00   200.00  3.231e-07
   200.00   250.00  1.227e-05
   250.00   300.00  1.530e-04
   300.00   350.00  9.320e-04
   350.00   400.00  3.485e-03
   400.00   450.00  9.213e-03
   450.00   500.00  1.889e-02
   500.00   550.00  3.197e-02
   550.00   600.00  4.671e-02
   600.00   650.00  6.082e-02
   650.00   700.00  7.224e-02
   700.00   750.00  7.970e-02
   750.00   800.00  8.279e-02
   800.00   850.00  8.185e-02
   850.00   900.00  7.767e-02
   900.00   950.00  7.122e-02
   950.00  1000.00  6.346e-02
  1000.00  1050.00  5.519e-02
  1050.00  1100.00  4.702e-02
  1100.00  1150.00  3.937e-02
  1150.00  1200.00  3.247e-02
  1200.00  1250.00  2.644e-02
  1250.00  1300.00  2.130e-02
  1300.00  1350.00  1.700e-02
  1350.00  1400.00  1.346e-02
  1400.00  1450.00  1.058e-02
  1450.00  1500.00  8.271e-03
  1500.00  1550.00  6.433e-03
  1550.00  1600.00  4.982e-03
  1600.00  1650.00  3.844e-03
  1650.00  1700.00  2.957e-03
  1700.00  1750.00  2.269e-03
  1750.00  1800.00  1.737e-03
  1800.00  1850.00  1.328e-03
  1850.00  1900.00  1.013e-03
  1900.00  1950.00  7.727e-04
  1950.00  2000.00  5.886e-04
  2000.00  2050.00  4.481e-04
  2050.00  2100.00  3.410e-04
  2100.00  2150.00  2.595e-04
  2150.00  2200.00  1.974e-04
  2200.00  2250.00  1.502e-04
  2250.00  2300.00  1.143e-04
  2300.00  2350.00  8.703e-05
  2350.00  2400.00  6.629e-05
  2400.00  2450.00  5.052e-05
  2450.00  2500.00  3.852e-05
  2500.00  2550.00  2.939e-05
  2550.00  2600.00  2.245e-05
  2600.00  2650.00  1.716e-05
  2650.00  2700.00  1.312e-05
  2700.00  2750.00  1.005e-05
  2750.00  2800.00  7.700e-06
  2800.00  2850.00  5.907e-06
  2850.00  2900.00  4.536e-06
  2900.00  2950.00  3.487e-06
  2950.00  3000.00  2.683e-06
  3000.00  3050.00  2.067e-06
  3050.00  3100.00  1.594e-06
  3100.00  3150.00  1.231e-06
  3150.00  3200.00  9.515e-07
  3200.00  3250.00  7.363e-07
  3250.00  3300.00  5.705e-07
  3300.00  3350.00  4.425e-07
  3350.00  3400.00  3.436e-07
  3400.00  3450.00  2.672e-07
  3450.00  3500.00  2.079e-07
  3500.00  3550.00  1.621e-07
  3550.00  3600.00  1.264e-07
  3600.00  3650.00  9.876e-08
  3650.00  3700.00  7.724e-08
  3700.00  3750.00  6.047e-08
  3750.00  3800.00  4.740e-08
  3800.00  3850.00  3.720e-08
  3850.00  3900.00  2.923e-08
  3900.00  3950.00  2.299e-08
  3950.00  4000.00  1.811e-08
  4000.00  4050.00  1.428e-08
  4050.00  4100.00  1.127e-08
  4100.00  4150.00  8.905e-09
  4150.00  4200.00  7.045e-09
  4200.00  4250.00  5.580e-09
  4250.00  4300.00  4.424e-09
  4300.00  4350.00  3.512e-09
  4350.00  4400.00  2.790e-09
  4400.00  4450.00  2.220e-09
  4450.00  4500.00  1.768e-09
  4500.00  4550.00  1.409e-09
  4550.00  4600.00  1.125e-09
  4600.00  4650.00  8.986e-10
  4650.00  4700.00  7.187e-10
  4700.00  4750.00  5.754e-10
  4750.00  4800.00  4.612e-10
  4800.00  4850.00  3.700e-10
  4850.00  4900.00  2.971e-10
  4900.00  4950.00  2.389e-10
  4950.00  5000.00  1.922e-10
  5000.00  5050.00  1.548e-10
  5050.00  5100.00  1.248e-10
  5100.00  5150.00  1.008e-10
  5150.00  5200.00  8.141e-11
  5200.00  5250.00  6.583e-11
  5250.00  5300.00  5.329e-11
  5300.00  5350.00  4.318e-11
  5350.00  5400.00  3.501e-11
  5400.00  5450.00  2.842e-11
  5450.00  5500.00  2.309e-11
  5500.00  5550.00  1.878e-11
  5550.00  5600.00  1.529e-11
  5600.00  5650.00  1.245e-11
  5650.00  5700.00  1.016e-11
  5700.00  5750.00  8.288e-12
  5750.00  5800.00  6.771e-12
  5800.00  5850.00  5.536e-12
