#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 265.5497856231056 844.7618832602241 -1495.494791681389 -0.002233218145088389 0.0006000743230914448 -5.758006305739367e-05
2458850.194000000 129.3430971957299 869.9236574967767 -1499.048762827696 -0.002300264706841869 0.0002373995609690626 -6.070774309900095e-05
2458850.888000000 -9.135611034724832 873.1100730861435 -1502.743937231666 -0.002308838118242077 -0.0001313500872163133 -6.227969711946531e-05
2458851.582000000 -146.3659043854145 854.2377505587953 -1506.485608146885 -0.0022587111584827 -0.0004967995374599967 -6.225523655489543e-05
2458852.276000000 -278.8585491874927 813.7842189736584 -1510.177855252314 -0.002151149690967987 -0.0008496547339372205 -6.063466751776589e-05
2458852.970000000 -403.2442905542604 752.7759366758648 -1513.726009321755 -0.001988881337281554 -0.001180939352941516 -5.745933093810108e-05
2458853.664000000 -516.3596264460466 672.7623237995533 -1517.039087120804 -0.001776026815342136 -0.001482223672041074 -5.281057010659174e-05
2458854.358000000 -615.3273848504331 575.7764540706581 -1520.032132683696 -0.001517995619464583 -0.001745839717538174 -4.680764680591097e-05
2458855.052000000 -697.6300396271746 464.2833972569321 -1522.6284034003 -0.001221348650121907 -0.001965077135789741 -3.960466070288189e-05
2458855.746000000 -761.1738833408733 341.1175229380162 -1524.761343576235 -0.0008936312692612682 -0.002134354715559043 -3.138655786740776e-05
2458856.440000000 -804.3424077367259 209.410362547317 -1526.37629409464 -0.0005431810387783018 -0.002249363107548783 -2.236434057351707e-05
2458857.134000000 -826.0375185878523 72.51087203973668 -1527.431894167874 -0.0001789150726639904 -0.002307175028104205 -1.276961064469425e-05
2458857.828000000 -825.707524283518 -66.0998646360743 -1527.901139549505 0.0001898975223671571 -0.002306320077464558 -2.848592766136154e-06
2458858.522000000 -803.3611785320521 -202.8973063815856 -1527.772070660636 0.000553872244095194 -0.00224682222650208 7.144206333292518e-06
2458859.216000000 -759.5674177785046 -334.40322764835 -1527.04807363346 0.0009037487152747172 -0.002130199004223299 1.695254066371181e-05
2458859.910000000 -695.4408036685005 -457.2742925972664 -1525.747787126882 0.001230626937884605 -0.001959422423868931 2.632500365669604e-05
2458860.604000000 -612.6130500512678 -568.3871627736632 -1523.904617783209 0.001526194185169322 -0.001738842689195979 3.502147526291864e-05
2458861.298000000 -513.1913726026853 -664.9179621815699 -1521.565877198381 0.001782936694067866 -0.001474076695367767 4.281927195348267e-05
2458861.992000000 -399.7047374697426 -744.4140722113408 -1518.791563032259 0.001994330735583064 -0.001171864252731085 4.951884063026112e-05
2458862.686000000 -275.0393944474416 -804.8564297885374 -1515.652816092799 0.002155008197868904 -0.0008398957911375807 5.494884923116692e-05
2458863.380000000 -142.365352057275 -844.7107496838147 -1512.230093571151 0.002260892498485887 -0.0004866160251693159 5.897054376675091e-05
2458864.074000000 -5.055679673274454 -862.966379162837 -1508.611105798185 0.002309301427234554 -0.0001210086586481746 6.148126270538097e-05
2458864.768000000 133.3992999681749 -859.1618121621838 -1504.888569725411 0.002299014386092282 0.0002476323334687872 6.241702358442355e-05
2458865.462000000 269.48074001801 -833.39623236597 -1501.157836683921 0.00223030241369192 0.000609938995452204 6.175412195661103e-05
2458866.156000000 399.7306644274217 -786.3268109162782 -1497.514454805244 0.002104920333642374 0.000956707243124875 5.950970809050313e-05
2458866.850000000 520.8397615564882 -719.1518458476359 -1494.051727817922 0.001926061324161439 0.001279130260830907 5.574133151663678e-05
2458867.544000000 629.7313557041293 -633.5801875964149 -1490.858331810347 0.001698275147158761 0.001569021568566586 5.054546727600363e-05
2458868.238000000 723.6394372800138 -531.787739298268 -1488.016050029401 0.001427352175668846 0.001819022170760006 4.405506061458148e-05
2458868.932000000 800.1787861322937 -416.3621437480464 -1485.597682913304 0.001120176198904016 0.00202278661770341 3.643614904898132e-05
2458869.626000000 857.405424462791 -290.2370631885994 -1483.665186372396 0.0007845497458322527 0.002175143351616441 2.788364236763221e-05
2458870.320000000 893.8658805733498 -156.6177166621777 -1482.268085865157 0.000428996335123875 0.002272225357574869 1.86163622330573e-05
2458871.014000000 908.6340263059221 -18.89955652870435 -1481.442207108366 6.254461785524833e-05 0.002311567879354012 8.871463278641392e-06
2458871.708000000 901.3345626093079 119.4178640579304 -1481.208756384369 -0.0003055001819468958 0.002292170774469375 -1.101623874413924e-06
2458872.402000000 872.1525617109249 254.8196613345582 -1481.573774504129 -0.0006657918141587986 0.002214523953005872 -1.104757174040473e-05
2458873.096000000 821.8288229419641 383.8647911883597 -1482.527978780752 -0.001009179648193083 0.002080595251870438 -2.071169039927364e-05
2458873.790000000 751.6411540737975 503.2733706898023 -1484.046997186118 -0.001326940495001673 0.001893781019769528 -2.984644554149317e-05
