#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 -923.7788839591351 262.65154859572 -1448.547802998398 -0.0006846824256889983 -0.002561387222520628 -2.779138761978533e-05
2458850.194000000 -952.4356239630121 106.4465396121454 -1449.889484205878 -0.000269125793998288 -0.002637719395804252 -1.686411887682105e-05
2458850.888000000 -955.9166317760775 -52.33135855950718 -1450.561554021475 0.0001532633721393381 -0.00264702338614596 -5.504541680522519e-06
2458851.582000000 -934.1338105526665 -209.6474498531727 -1450.546783372538 0.000571752344040326 -0.002589065134560752 5.996157609885187e-06
2458852.276000000 -887.6409856847597 -361.5043004195485 -1449.845550846972 0.0009757081310871434 -0.002465318898171772 1.734312759118562e-05
2458852.970000000 -817.6198057748759 -504.0432599194714 -1448.475835260777 0.001354867266565578 -0.00227892966335708 2.824543172184554e-05
2458853.664000000 -725.8497154898218 -633.6424531282956 -1446.472755400841 0.001699596179894596 -0.002034633252234914 3.84235384530636e-05
2458854.358000000 -614.6627631387046 -747.0087607681751 -1443.887668396087 0.002001135592552029 -0.001738636153069492 4.761651955537648e-05
2458855.052000000 -486.8843879515719 -841.2614607296913 -1440.786850113496 0.002251822780508023 -0.001398458111121874 5.558876183684526e-05
2458855.746000000 -345.7616853023229 -914.0054112240143 -1437.249792217803 0.002445286100697751 -0.001022741445617296 6.213601340367857e-05
2458856.440000000 -194.8809640163306 -963.3919206468116 -1433.367160603491 0.002576606869060806 -0.0006210318900331833 6.709060834617577e-05
2458857.134000000 -38.0766807321939 -988.1657586625427 -1429.238468482884 0.002642444487331554 -0.0002035364681794398 7.032574032523317e-05
2458857.828000000 120.665944556513 -987.697111717571 -1424.969524350978 0.002641121627437282 0.0002191354987245462 7.175868322159631e-05
2458858.522000000 277.31216577488 -961.9976655036419 -1420.669720335726 0.002572667276587258 0.0006362417231289053 7.135288413030884e-05
2458859.216000000 427.8802344799285 -911.7203976007511 -1416.449230131504 0.002438816500874753 0.001037179812957966 6.911888030410312e-05
2458859.910000000 568.5426077451338 -838.1430758171077 -1412.416187827866 0.002242966875952714 0.001411756748673372 6.511401801680562e-05
2458860.604000000 695.7232678696865 -743.1358712965896 -1408.673919449417 0.001990092633059879 0.001750448126196034 5.944097882380219e-05
2458861.298000000 806.1886769541273 -629.1138998135056 -1405.318297828786 0.001686618648880679 0.00204464055745905 5.224514785069395e-05
2458861.992000000 897.1300482801248 -498.9758893731181 -1402.435288452628 0.001340257439302785 0.002286851032903956 4.371088899941767e-05
2458862.686000000 966.2348349740868 -356.0305273031092 -1400.098749128386 0.0009598132720086351 0.002470917624736057 3.405682181886239e-05
2458863.380000000 1011.745609297923 -203.912356106106 -1398.368539796871 0.0005549583647638484 0.002592156632378923 2.353022229268904e-05
2458864.074000000 1032.504826173036 -46.48935611126956 -1397.288990759516 0.0001359868620402014 0.002647482123837734 1.24006932094294e-05
2458864.768000000 1027.984324040053 112.2354327142037 -1396.887768280391 -0.0002864471374580485 0.002635484786597954 9.532680382340125e-07
2458865.462000000 998.2988056527033 268.2257432774499 -1397.175166282183 -0.0007016008114883866 0.002556468044279945 -1.051887491737645e-05
2458866.156000000 944.2029508359794 417.5147718525182 -1398.143841998229 -0.001098916167191892 0.002412440493244517 -2.172190351729629e-05
2458866.850000000 867.0722319907695 556.306107139071 -1399.7690022537 -0.001468288915251566 0.002207064837786775 -3.236883997920063e-05
2458867.544000000 768.8679203055808 681.0703228985344 -1402.00903577397 -0.001800325781750519 0.001945564623659044 -4.218689874488455e-05
2458868.238000000 652.087175359185 788.6347699645328 -1404.806575773002 -0.002086583671242007 0.001634591157545509 -5.092447034886081e-05
2458868.932000000 519.6994925113752 876.2642777167642 -1408.089966259591 -0.002319784563467249 0.001282054025729531 -5.835757479202483e-05
2458869.626000000 375.07113121603 941.730708350828 -1411.775095217852 -0.00249400065438895 0.0008969195611320018 -6.429561858974553e-05
2458870.320000000 221.8794541043466 983.3695933126642 -1415.767548291189 -0.002604805022632595 0.0004889824293168534 -6.858630425088398e-05
2458871.014000000 64.01936345643723 1000.122412576013 -1419.965028078427 -0.002649383994095067 6.861618931191324e-05 -7.111956003162827e-05
2458871.708000000 -94.49577805563285 991.5634453050532 -1424.259976922905 -0.002626608366132605 -0.0003534907835889968 -7.183038189065904e-05
2458872.402000000 -249.6362167292537 957.9105152053778 -1428.542335444096 -0.00253706171162531 -0.0007666072618013716 -7.070050869871562e-05
2458873.096000000 -397.4582678241418 900.0193652196076 -1432.702365311067 -0.002383025083994354 -0.001160232076608275 -6.775888515368918e-05
2458873.790000000 -534.2045594021272 819.3618135037034 -1436.633463095546 -0.002168418557910507 -0.001524361027713078 -6.308090275031458e-05
2458874.484000000 -656.399512352852 717.988255111607 -1440.234892545215 -0.001898701138247869 -0.001849741010789413 -5.678644498803283e-05
2458875.178000000 -760.9376327451536 598.4754710174541 -1443.414365198933 -0.001580731624088707 -0.002128104922499732 -4.903679604045797e-05
2458875.872000000 -845.1623776682545 463.8610780538556 -1446.090403688807 -0.001222593999351806 -0.002352381403359564 -4.003050030166255e-05
2458876.566000000 -906.933597143857 317.5662907447833 -1448.194428022116 -0.0008333918129007567 -0.002516874127117753 -2.999828287925956e-05
2458877.260000000 -944.6818461798349 163.3089605567291 -1449.672512293773 -0.000423016787342596 -0.002617406123964233 -1.919715907664952e-05
2458877.954000000 -957.4481951662391 5.009102510060075 -1450.486767421528 -1.897538202710739e-06 -0.002651425514346285 -7.903876084360841e-06
2458878.648000000 -944.9085350461135 -153.3106925975902 -1450.616314513337 0.0004192652219960664 -0.002618070008223426 3.592155599996174e-06
2458879.342000000 -907.3817666788985 -307.6274344707499 -1450.057823350375 0.0008297702890509571 -0.002518188566735856 1.499626920502045e-05
2458880.036000000 -845.8216716054272 -454.0199083651856 -1448.82560118555 0.001219187514495743 -0.002354319703173337 2.60161018379373e-05
2458880.730000000 -761.7926737313612 -588.7682605008126 -1446.951228506362 0.00157762243865063 -0.002130626990378501 3.63691119550035e-05
2458881.424000000 -657.4301079749878 -708.4484717632891 -1444.482750324232 0.001895967334339423 -0.001852793414922228 4.578985380619769e-05
2458882.118000000 -535.3860025873516 -810.0193271451795 -1441.483443500066 0.002166132332196674 -0.00152787724811704 5.403681216141238e-05
2458882.812000000 -398.7617471125708 -890.8996776930434 -1438.0301920774 0.002381250798582953 -0.001164133065826921 6.089861316080228e-05
2458883.506000000 -251.0293488977209 -949.0340361609599 -1434.211513062151 0.002535853778747918 -0.0007708024209086956 6.619944739949169e-05
2458884.200000000 -95.94326967508377 -982.9448410680683 -1430.125284169791 0.002626009085823832 -0.0003578794343986106 6.980356684904564e-05
2458884.894000000 62.55492707120172 -991.7700593429572 -1425.87623252861 0.002649421493658226 6.41427932406184e-05 7.161874511148672e-05
2458885.588000000 220.436703472733 -975.2851671101106 -1421.573249107157 0.002605491459448206 0.000484538556714563 7.159861868137618e-05
2458886.282000000 373.6889113686444 -933.9089424897197 -1417.326597738803 0.00249533083936096 0.0008926219751090713 6.974385452577391e-05
2458886.976000000 518.4157952510637 -868.6929138737926 -1413.245090074495 0.002321735142920501 0.001278018573473982 6.610211672386496e-05
2458887.670000000 650.9380419594331 -781.294721823683 -1409.433298592194 0.002089112973551676 0.001630929116707501 6.07668330024503e-05
2458888.364000000 767.8863567062896 -673.93606201329 -1405.988878868663 0.001803374395018487 0.001942378973766017 5.387479132254664e-05
2458889.058000000 866.2871812030124 -549.3462700036469 -1403.000069606705 0.001471781017441928 0.002204446642040631 4.560262690415961e-05
2458889.752000000 943.6383671472944 -410.6929758823649 -1400.543434388408 0.00110276158350586 0.002410465579799426 3.616228996461955e-05
2458890.446000000 997.9728723414788 -261.5015882744983 -1398.681902864412 0.0007056977282239319 0.002555194166576754 2.579561218104707e-05
2458891.140000000 1027.908850785629 -105.5656542358541 -1397.463161275575 0.000290685359982471 0.002634949420147941 1.476811373306514e-05
2458891.834000000 1032.684854523696 53.14962355469788 -1396.918433106732 -0.0001317222546155881 0.002647701023494464 3.362211584854156e-06
2458892.528000000 1012.179244891517 210.6082543039809 -1397.061680610369 -0.0005507831414492719 0.002593123231793435 -8.129996925423997e-06
2458893.222000000 966.9133143224296 362.8061397960761 -1397.889247226791 -0.0009558401361238828 0.002472603311364871 -1.941419278565976e-05
2458893.916000000 898.0380365447608 505.8729493369144 -1399.379949852077 -0.001336592268757118 0.002289206281186841 -3.020134995891611e-05
2458894.610000000 807.3047820220493 636.170590067501 -1401.495618707921 -0.001683357069586558 0.002047596853425734 -4.021511941336322e-05
2458895.304000000 697.0207459193076 750.3857607672439 -1404.182071455072 -0.001987317082115737 0.001753920572461446 -4.919889896550433e-05
2458895.998000000 569.9902270216307 845.6142289983277 -1407.370497351495 -0.002240744279069693 0.001415647202686104 -5.69224114347039e-05
2458896.692000000 429.4432576883012 919.4346839081937 -1410.979216874827 -0.002437196649093266 0.001041380385887586 -6.31876229079761e-05
2458897.386000000 278.9534077047512 969.9702846083526 -1414.915772513226 -0.002571681943301827 0.0006406384535224006 -6.783384593427903e-05
2458898.080000000 122.3468604624177 995.9363397293164 -1419.07929762278 -0.002640784420796703 0.0002236120148547919 -7.074188991181173e-05
2458898.774000000 -36.39491880175987 996.6729091968145 -1423.363102640564 -0.002642751387904465 -0.0001990954703431855 -7.183714350128855e-05
2458899.468000000 -193.236441481913 972.1615051390816 -1427.657411849608 -0.00257753736124777 -0.0006167375008519506 -7.109150191589571e-05
2458900.162000000 -344.1908018859299 923.0254750413056 -1431.85217963374 -0.00244680477202117 -0.001018697839136146 -6.852408492125469e-05
2458900.856000000 -485.4210207311141 850.5140662527955 -1435.839912991173 -0.002253881239229557 -0.00139476035279001 -6.420072774969714e-05
2458901.550000000 -613.3375501543023 756.4705860323824 -1439.518427127122 -0.002003674544400651 -0.001735368536652535 -5.8232264314784e-05
2458902.244000000 -724.6894647894134 643.2854749206615 -1442.793463174592 -0.001702547511470749 -0.002031868137500159 -5.077165707452372e-05
2458902.938000000 -816.6470262856228 513.8354931974807 -1445.581101283962 -0.001358156006748284 -0.00227672674540625 -4.20100580346785e-05
2458903.632000000 -886.8735296745165 371.4105710079073 -1447.809908139271 -0.0009792542006188626 -0.002463724810121403 -3.217190939241088e-05
2458904.326000000 -933.5846135041343 219.6301837613039 -1449.422765037624 -0.0005754720527483561 -0.002588113271557464 -2.150921058489171e-05
2458905.020000000 -955.5935346503684 62.35137795923174 -1450.378330712715 -0.0001570706761319204 -0.002646733842292717 -1.029509283699808e-05
2458905.714000000 -952.3412650626371 -96.4292177327905 -1450.652101927384 0.0002653182144185822 -0.002638098925922669 1.183144988798398e-06
2458906.408000000 -923.9106524044178 -252.6769107846492 -1450.237044462032 0.0006809621706370953 -0.002562429174738721 1.263137272030279e-05
