#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 162.0352483870205 440.444453743008 -1673.43875341979 -0.001155579919620553 0.0003119433397537975 -2.978953686130716e-05
2458850.194000000 91.54599375534005 453.5504554400408 -1675.27768307152 -0.001190575339447917 0.0001242677019684999 -3.141612300927048e-05
2458850.888000000 19.86292942058022 455.2829660777123 -1677.190175512102 -0.001195312788570277 -6.661056185077873e-05 -3.223788722105094e-05
2458851.582000000 -51.19183718809165 445.5952837351766 -1679.127225351991 -0.001169661426277686 -0.0002558400566660628 -3.223341538661175e-05
2458852.276000000 -119.8115484920829 424.7310645766645 -1681.039177304177 -0.001114263174310198 -0.0004386079613777198 -3.140249837044637e-05
2458852.970000000 -184.2507728099391 393.2183228393587 -1682.877001834164 -0.001030517438406629 -0.0006102626397243544 -2.976617851975754e-05
2458853.664000000 -242.8698804185559 351.8561767520548 -1684.593556934997 -0.0009205464444797853 -0.000766432465517659 -2.736624034644882e-05
2458854.358000000 -294.1768783539645 301.6946602020887 -1686.144802870579 -0.0007871419770524019 -0.0009031377839474811 -2.426415402959878e-05
2458855.052000000 -336.8655248140092 244.0081005027338 -1687.490937777395 -0.0006336948019599073 -0.001016893079546079 -2.053949798742704e-05
2458855.746000000 -369.8487351393285 180.2627317299606 -1688.597424096428 -0.000464108524882096 -0.001104796652736776 -1.628790340488804e-05
2458856.440000000 -392.2864094971768 112.0793659759192 -1689.435878820576 -0.0002827000673515606 -0.001164605416585845 -1.161857787157473e-05
2458857.134000000 -403.6069547948531 41.1920769784598 -1689.984804320864 -9.408931805541513e-05 -0.0011947928065995 -6.651476448158529e-06
2458857.828000000 -403.5219363450427 -30.59604205684457 -1690.230140868043 9.69191738555627e-05 -0.001194588239433828 -1.514196574151202e-06
2458858.522000000 -392.0334740135314 -101.4589054006238 -1690.165626726502 0.0002854593668461674 -0.001163997048920046 3.661321175110776e-06
2458859.216000000 -369.4341879653494 -169.5940568799157 -1689.792956735646 0.0004667285179984787 -0.001103800355107819 8.742200695240976e-06
2458859.910000000 -336.29969522638 -233.2686811391828 -1689.121735515304 0.0006361103105390792 -0.001015534867556225 1.359805818497607e-05
2458860.604000000 -293.4738543711856 -290.8638146182818 -1688.169226750157 0.0007892930795021546 -0.000901453170146206 1.810436123000827e-05
2458861.298000000 -242.047146033193 -340.9156155704808 -1686.959905320037 0.0009223800391050656 -0.0007644655634308012 2.214563132073522e-05
2458861.992000000 -183.3287561116194 -382.1526320085755 -1685.52482421099 0.001031988645723633 -0.0006080650348982336 2.561840570762948e-05
2458862.686000000 -118.8130914989394 -413.5281142359347 -1683.900813000854 0.001115336539897753 -0.00043623737222483 2.843388111623116e-05
2458863.380000000 -50.14160044196134 -434.2465512471107 -1682.129529089574 0.001170311888096416 -0.0002533588167122727 3.052017125442874e-05
2458864.074000000 20.93911238331841 -443.7837636847607 -1680.256386585806 0.001195526376605523 -6.408396362970767e-05 3.18241216967175e-05
2458864.768000000 92.62179518541134 -441.9000556432024 -1678.329390757121 0.00119034958143001 0.000126773153830134 3.231263880458263e-05
2458865.462000000 163.0845401420838 -428.646108515161 -1676.397908141577 0.001154923934635552 0.0003143617137038169 3.197350299324046e-05
2458866.156000000 230.5370820759435 -404.3614872405049 -1674.511403790538 0.001090160014312509 0.0004939173420579293 3.081565020712621e-05
2458866.850000000 293.2662293054654 -369.6658177149 -1672.718177686286 0.0009977123881790347 0.0006608828124002375 2.886891850470226e-05
2458867.544000000 349.6792797349775 -325.442878909595 -1671.064132189744 0.0008799367267076641 0.0008110231816603648 2.618326900966187e-05
2458868.238000000 398.3443320514275 -272.8180299018022 -1669.591601465162 0.0007398293590284294 0.0009405325082172732 2.282750216899297e-05
2458868.932000000 438.0264850229919 -213.1295563893066 -1668.338272237289 0.0005809508640131969 0.001046129534089126 1.888750137365514e-05
2458869.626000000 467.7190248130977 -147.8946696976828 -1667.336222992501 0.0004073356620339331 0.001125140006862035 1.446404666739369e-05
2458870.320000000 486.6688279725302 -78.77102064383735 -1666.611105863205 0.0002233898938929993 0.001175563658469467 9.670251551589814e-06
2458871.014000000 494.395353093412 -7.514698274175657 -1666.181491959832 3.378013783281127e-05 0.001196124238785221 4.628685683830743e-06
2458871.708000000 490.7027535028549 64.06423265042076 -1666.058396875581 -0.0001566842799855113 0.001186301413528378 -5.317447883932433e-07
2458872.402000000 475.6848131688839 134.1475430812269 -1666.244998553861 -0.0003431724840267177 0.001146343769766353 -5.679080037171034e-06
2458873.096000000 449.7225843924941 200.9548556797348 -1666.736554787851 -0.0005209537814435998 0.001077262620080578 -1.068166804240917e-05
2458873.790000000 413.4747849854877 262.7887161135793 -1667.520522471787 -0.0006855169394009345 0.000980806750046784 -1.541151798497225e-05
2458874.484000000 367.8611905571188 318.0775926075397 -1668.576875532828 -0.0008326840723379978 0.0008594187049100301 -1.974755972691518e-05
2458875.178000000 314.0394303133982 365.4157257272348 -1669.878613432628 -0.0009587163221664395 0.0007161736519517869 -2.357872755174805e-05
2458875.872000000 253.3757585356399 403.5988252732993 -1671.392447399624 -0.001060408696822863 0.0005547022767300805 -2.680679257603737e-05
2458876.566000000 187.4105248494116 431.654710582263 -1673.079647239728 -0.001135171676989414 0.0003790995655453256 -2.934887565720765e-05
2458877.260000000 117.8192009171233 448.8681125303749 -1674.897027715039 -0.001181097503776448 0.0001938216844229578 -3.113958027432395e-05
2458877.954000000 46.36993588977117 454.7989976956051 -1676.79805007659 -0.001197009417226705 3.573477623713869e-06 -3.213269236103948e-05
2458878.648000000 -25.12129523100435 449.2939344604474 -1678.734011385654 -0.001182492520671739 -0.0001868106327694557 -3.230240175513292e-05
2458879.342000000 -94.83681989951657 432.4901938258449 -1680.655291794195 -0.00113790539175395 -0.0003724893689159502 -3.164400869097451e-05
2458880.036000000 -161.0035040467343 404.8124603482679 -1682.512628074885 -0.001064372038181483 -0.0005487378386707551 -3.017408960549937e-05
2458880.730000000 -221.9379176099981 366.9622164600461 -1684.258380539539 -0.0009637542942120154 -0.000711068146342676 -2.79301100320886e-05
2458881.424000000 -276.0892722924184 319.9000517169776 -1685.847760219327 -0.0008386052602033621 -0.0008553442566739915 -2.49694882948463e-05
2458882.118000000 -322.0790254846327 264.8213322390588 -1687.239983918708 -0.000692104888771103 -0.0009778881140826835 -2.136813102297086e-05
2458882.812000000 -358.7361250184015 203.1258397391216 -1688.399326532992 -0.0005279793027938739 -0.001075574221058302 -1.721847860465818e-05
