#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 -340.4560843630328 -1371.800433996277 -1011.383816316939 0.003660302594896817 -0.0009780157873007292 9.439561014491744e-05
2458850.194000000 -117.2445418836631 -1412.710113452093 -1005.558478035299 0.003769030712752868 -0.0003836185615167889 9.949052639485895e-05
2458850.888000000 109.6210336523547 -1417.610577032532 -999.5036172353168 0.003781923696452122 0.0002205078035176674 0.0001020348385498127
2458851.582000000 334.3723158355559 -1386.378855169066 -993.3744633031781 0.003698660182883894 0.0008189982745157856 0.0001019632418314947
2458852.276000000 551.2951779883771 -1319.810876746442 -987.3281502866975 0.003521365376805227 0.001396633535558108 9.927765260319332e-05
2458852.970000000 754.875056191977 -1219.60107019705 -981.5196784137179 0.00325455612239376 0.001938727458094103 9.404717510008774e-05
2458853.664000000 939.9371802319006 -1088.299098447018 -976.0979303005986 0.002905025034224618 0.002431500696279265 8.640631326016209e-05
2458854.358000000 1101.778102461849 -929.244847809772 -971.2018460415743 0.00248166674734745 0.002862430882307403 7.655147129552085e-05
2458855.052000000 1236.285182799754 -746.4833442491081 -966.9568571288212 0.001995250820128302 0.003220570530567258 6.473584047128416e-05
2458855.746000000 1340.041000967503 -544.6617788766711 -963.4716717978333 0.001458147167849042 0.00349682461762448 5.126281877609732e-05
2458856.440000000 1410.410055860613 -328.9112755106577 -960.8354943325178 0.0008840110879566884 0.003684180860346651 3.647815069755898e-05
2458857.134000000 1445.605566165023 -104.7164156039115 -959.1157486850959 0.0002874359331106637 0.003777886936918234 2.076100434905128e-05
2458857.828000000 1444.734694071147 122.2241591275301 -958.356363088761 -0.0003164177246043133 0.00377557025237468 4.514223450833525e-06
2458858.522000000 1407.821062245791 346.1425256179787 -958.5766576836406 -0.0009122070316273921 0.003677297307685306 -1.184599544788571e-05
2458859.216000000 1335.804009299277 561.3479681873987 -959.7708618997849 -0.001484796157708843 0.003485571253871928 -2.790074192627321e-05
2458859.910000000 1230.514616573787 762.3714667863056 -961.9082726686378 -0.002019640144731011 0.003205267763802514 -4.32390831428583e-05
2458860.604000000 1094.629124626352 944.1045287899404 -964.9340486468856 -0.002503153631498778 0.002843510896873224 -5.746854215475964e-05
2458861.298000000 931.6009269090733 1101.928853995492 -968.7706197621485 -0.002923055178811122 0.00240949212875375 -7.022510019423847e-05
