#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 50.4075030744293 5.327467596020142 -1737.260689051248 2.894594724703447e-06 1.035430759185592e-05 1.157405632480878e-07
2458850.194000000 50.5266871567633 5.960249899063797 -1737.255171040255 1.069311422692261e-06 1.070013106465031e-05 6.781054435142945e-08
2458850.888000000 50.53493557990616 6.604330984068042 -1737.252601983428 -7.960500809017531e-07 1.072960372873988e-05 1.763331064277304e-08
2458851.582000000 50.43158586039526 7.240574969648264 -1737.25306999922 -2.643223636665769e-06 1.043909764056516e-05 -3.322307595563603e-08
2458852.276000000 50.21948004611453 7.849979627545508 -1737.256567592636 -4.414024239881154e-06 9.83670833754956e-06 -8.314951566772691e-08
2458852.970000000 49.90488057869801 8.41437437617958 -1737.262991374157 -6.052983797950555e-06 8.941977930461212e-06 -1.305687651998267e-07
2458853.664000000 49.49723147043449 8.917081939506943 -1737.272146132105 -7.509844116828051e-06 7.78496672369581e-06 -1.740068803031399e-07
2458854.358000000 49.00877873855761 9.343506332503694 -1737.283753016752 -8.741730622181082e-06 6.404739527270911e-06 -2.121580984588311e-07
2458855.052000000 48.45407391473741 9.681615284220584 -1737.297461302052 -9.714856602814345e-06 4.847380906869001e-06 -2.439385955873316e-07
2458855.746000000 47.84939229418442 9.922293250730036 -1737.312862944877 -1.040564860445379e-05 3.163691236641764e-06 -2.685255487917376e-07
2458856.440000000 47.21210264778603 10.05955105339933 -1737.329508986761 -1.080123493432169e-05 1.406738699431486e-06 -2.853792847653189e-07
2458857.134000000 46.56002692044873 10.0905889632927 -1737.34692675572 -1.089929562692003e-05 -3.705510615728192e-07 -2.942478375405373e-07
2458857.828000000 45.91082685768579 10.01572071085354 -1737.364636832432 -1.07073275759661e-05 -2.117596664301698e-06 -2.951548042047801e-07
2458858.522000000 45.28144978305588 9.838175425447048 -1737.382168841918 -1.024142692533418e-05 -3.788009793825366e-06 -2.883728018374221e-07
2458859.216000000 44.68765846510951 9.563802028694454 -1737.399075305286 -9.524727247677371e-06 -5.340986393621382e-06 -2.743859493768338e-07
2458859.910000000 44.14366099246846 9.200705471277956 -1737.414943015345 -8.585653090411344e-06 -6.742183649873738e-06 -2.538455233108447e-07
2458860.604000000 43.66184679807579 8.758846056766288 -1737.429401659226 -7.456152587852682e-06 -7.964077634142672e-06 -2.275232142370677e-07
2458861.298000000 43.25262545200481 8.249631898046005 -1737.442129673693 -6.170060402771564e-06 -8.98584593455563e-06 -1.962662393446193e-07
2458861.992000000 42.92435651399382 7.685530572839298 -1737.45285755835 -4.761715355586578e-06 -9.792862137950798e-06 -1.60957983798871e-07
2458862.686000000 42.68335237323354 7.079719827544409 -1737.461369066187 -3.264919136508348e-06 -1.037592056769859e-05 -1.224869273843135e-07
2458863.380000000 42.53393214147606 6.445789473499303 -1737.467500822576 -1.712277758361074e-06 -1.073032741101397e-05 -8.172546386472253e-08
2458864.074000000 42.47850357261515 5.79749830405558 -1737.471140982678 -1.349206010545015e-07 -1.085499690132178e-05 -3.951895933133055e-08
2458864.768000000 42.51765163909693 5.148581849477637 -1737.472227520209 1.437452258063453e-06 -1.075167868530667e-05 3.315849620119421e-09
2458865.462000000 42.650216510479 4.512599942336124 -1737.470746652551 2.976280872539261e-06 -1.042441649779109e-05 4.598512088730712e-08
2458866.156000000 42.87334971672186 3.902808115109906 -1737.466731760032 4.453727298584465e-06 -9.879301699267309e-06 8.77076875119417e-08
2458866.850000000 43.18254451083199 3.332034313390636 -1737.460262969173 5.842254461233198e-06 -9.124542060727778e-06 1.277037125996273e-07
2458867.544000000 43.57164402190769 2.812542541004859 -1737.451467362955 7.114326274302686e-06 -8.170821058635538e-06 1.651856845779249e-07
2458868.238000000 44.03283782111517 2.355867828008854 -1737.440519580512 8.242336941124465e-06 -7.031880762429145e-06 1.99354913295418e-07
2458868.932000000 44.55666317479098 1.972612010971034 -1737.427642397975 9.198848082413726e-06 -5.72522679089866e-06 2.29405999274197e-07
2458869.626000000 45.13203084219717 1.672196662050055 -1737.413106762575 9.957173263081518e-06 -4.272830648330388e-06 2.545407513857824e-07
2458870.320000000 45.74629632730552 1.462577326590804 -1737.397230698812 1.049230491332938e-05 -2.701695682956241e-06 2.739918324152618e-07
2458871.014000000 46.38539583046848 1.349931140860463 -1737.380376526559 1.078213348881832e-05 -1.044159072280241e-06 2.870551513452534e-07
2458871.708000000 47.03406188258868 1.338336996200042 -1737.36294592607 1.080886794837095e-05 6.621768877877026e-07 2.931288370029704e-07
2458872.402000000 47.67612718014225 1.429472866841024 -1737.34537254526 1.056053463528149e-05 2.374957429436434e-06 2.917556506480147e-07
2458873.096000000 48.29491710635852 1.622358066347147 -1737.328112054829 1.003241176450355e-05 4.048062454843503e-06 2.826650290827443e-07
2458873.790000000 48.87372261473276 1.913168617141082 -1737.311629795766 9.228250922468727e-06 5.633051183967114e-06 2.65810660924482e-07
2458874.484000000 49.39633643353718 2.295151458475175 -1737.296386408125 8.161145813030155e-06 7.080999659038656e-06 2.413996104749695e-07
2458875.178000000 49.84762778283381 2.758658016589152 -1737.28282205586 6.853931107158454e-06 8.344623394782322e-06 2.099095002106266e-07
2458875.872000000 50.21412475128827 3.29131012223877 -1737.271340048279 5.339028690670371e-06 9.380543221919963e-06 1.720910963592626e-07
2458876.566000000 50.48456978432534 3.878302020642082 -1737.262290786032 3.657701944238455e-06 1.015153033609856e-05 1.289547415248995e-07
2458877.260000000 50.65041281629897 4.502832083576436 -1737.255957015191 1.858727326425705e-06 1.062855902039687e-05 8.174035747708894e-08
2458877.954000000 50.7062086340672 5.146647708811429 -1737.252541348932 -3.457636599838709e-09 1.079250346854027e-05 3.18721016593804e-08
2458878.648000000 50.64989002896074 5.790677704044697 -1737.25215691096 -1.871024200579432e-06 1.063533823837984e-05 -1.909990662950878e-08
2458879.342000000 50.48289585536548 6.415719063498727 -1737.254821773408 -3.685295257883292e-06 1.016073836595653e-05 -6.956718861941796e-08
2458880.036000000 50.21014268933144 7.003140173561746 -1737.26045761677 -5.389388890910806e-06 9.384022018004536e-06 -1.179353174929912e-07
2458880.730000000 49.83983957144616 7.535560629480074 -1737.268892750197 -6.93077768841485e-06 8.331431591844213e-06 -1.626960808339822e-07
2458881.424000000 49.38315636856603 7.99746923378575 -1737.279869322423 -8.2635830591728e-06 7.038803439530181e-06 -2.024942593519259e-07
2458882.118000000 48.85376657429861 8.375746295080035 -1737.293054255817 -9.350445008973173e-06 5.549726625850151e-06 -2.36184306731591e-07
2458882.812000000 48.26729390561915 8.660063657321302 -1737.308053177813 -1.016384447745584e-05 3.913332287315717e-06 -2.628731047718326e-07
2458883.506000000 47.6406980164267 8.843145288804976 -1737.324426431031 -1.068680382026532e-05 2.181883022321074e-06 -2.819462372947524e-07
2458884.200000000 46.99163747302133 8.920881855425705 -1737.341706134555 -1.09129463063453e-05 4.083434455170418e-07 -2.930767339312323e-07
2458884.894000000 46.33784758957623 8.892303482580587 -1737.359413253211 -1.084595162673465e-05 -1.355892548040605e-06 -2.962168089945405e-07
2458885.588000000 45.69656693641415 8.759424850793721 -1737.377073708097 -1.049849533074086e-05 -3.062964375746692e-06 -2.915745859369816e-07
2458886.282000000 45.08403978766648 8.526984949625785 -1737.39423271867 -9.890800482524658e-06 -4.670079855606905e-06 -2.79579000540505e-07
2458886.976000000 44.51511322669592 8.20210951030947 -1737.410466784979 -9.048955716395945e-06 -6.140551425118243e-06 -2.608369019324639e-07
2458887.670000000 44.00293802004747 7.79392690108341 -1737.425392973484 -8.003163122278818e-06 -7.444313057346568e-06 -2.360867547409927e-07
2458888.364000000 43.55877271677626 7.313167964660124 -1737.438675433965 -6.786071811414665e-06 -8.557947953038524e-06 -2.061532735232009e-07
2458889.058000000 43.1918816994914 6.771777085808026 -1737.45002932181 -5.431330189358574e-06 -9.464302063096811e-06 -1.7190682311035e-07
2458889.752000000 42.90951093527249 6.182556166492077 -1737.459222505825 -3.97245494924653e-06 -1.015179356671593e-05 -1.342305649424493e-07
2458890.446000000 42.7169205615126 5.558855853278146 -1737.466075588052 -2.442071661567169e-06 -1.061355037403428e-05 -9.399721818348188e-08
2458891.140000000 42.6174515437379 4.914320156264353 -1737.470460837053 -8.715352088239746e-07 -1.084651470976159e-05 -5.205605357488765e-08
2458891.834000000 42.61260452562915 4.262682434453268 -1737.472300635037 7.09107037243683e-07 -1.085064554784999e-05 -9.22947573266755e-09
2458892.528000000 42.70211244133584 3.61760348708367 -1737.471565965343 2.27088594637962e-06 -1.062832728710616e-05 3.368259620152964e-08
2458893.222000000 42.88399400728527 2.992536958756659 -1737.468275330671 3.785521732030934e-06 -1.018405913888505e-05 7.589325214153208e-08
