#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 1153.190003365687 -321.9419393890929 1259.821496800176 0.0008443088001608761 0.003158403989803788 3.427012307865717e-05
2458850.194000000 1188.527161581364 -129.3277388920202 1261.475930066215 0.0003318489188927641 0.003252539172590843 2.079475523726984e-05
2458850.888000000 1192.817775966004 66.45931963454234 1262.304603561767 -0.0001890398088352238 0.003264009310870594 6.78616416230197e-06
2458851.582000000 1165.953123255852 260.4432662815518 1262.286266826396 -0.0007051185406818564 0.003192524980602632 -7.396475035295396e-06
2458852.276000000 1108.616298485963 447.694073433082 1261.42138849164 -0.001203271322411222 0.003039904708698048 -2.138946002165024e-05
2458852.970000000 1022.26482151817 623.452926829153 1259.732147210107 -0.001670838222907941 0.002810028587561028 -3.483392065446148e-05
2458853.664000000 909.0935756038442 783.253137564591 1257.261863452098 -0.002095936829805826 0.002508739576911285 -4.738506736908985e-05
2458854.358000000 771.9790219100269 923.0336273952737 1254.073886351343 -0.002467763968096799 0.002143695014264653 -5.872107812079919e-05
2458855.052000000 614.4061076547335 1039.242108913068 1250.249964582475 -0.002776870011551015 0.00172417210915147 -6.855138253259081e-05
2458855.746000000 440.3797230433869 1128.925343737942 1245.888144176033 -0.003015398852449858 0.001260832352093053 -7.662412185364281e-05
2458856.440000000 254.3229528674727 1189.804189135648 1241.100248634264 -0.003177287460614242 0.0007654508007206248 -8.273259174302691e-05
2458857.134000000 60.96470279407124 1220.331528267816 1236.009007300824 -0.003258419977124497 0.0002506170885128536 -8.672050811776497e-05
2458857.828000000 -134.7804501318647 1219.731612050008 1230.744906480682 -0.003256732427898567 -0.0002705842837645487 -8.848597088334887e-05
2458858.522000000 -327.9371352633315 1188.019810731321 1225.442844291481 -0.003172265381656989 -0.0007849062852401086 -8.798403420046282e-05
2458859.216000000 -513.5956254520609 1126.002269196241 1220.238674719591 -0.003007163187098933 -0.001279275903303842 -8.522782470420505e-05
2458859.910000000 -687.0366230300916 1035.255469341834 1215.265728889458 -0.002765619774110479 -0.001741126367165566 -8.028818179201121e-05
2458860.604000000 -843.8512240400493 918.0862128832456 1210.651402097156 -0.002453772359769386 -0.002158716607533955 -7.329182806406183e-05
2458861.298000000 -980.0530104623562 777.4730356817395 1206.513893608977 -0.002079545726821643 -0.002521429825373086 -6.441811386183479e-05
2458861.992000000 -1092.179418440641 616.9905373838324 1202.959182480218 -0.001652451004946326 -0.002820043563729361 -5.389441694859899e-05
2458862.686000000 -1177.379801641843 440.7185456761663 1200.078316687248 -0.00118334404993359 -0.00304696439385563 -4.199031487949422e-05
2458863.380000000 -1233.487946184066 253.1384215073246 1197.9450847912 -0.0006841495518480424 -0.003196421222386837 -2.901068114514733e-05
2458864.074000000 -1259.07718841497 59.01914020186877 1196.61412940968 -0.0001675578831706658 -0.003264612276965166 -1.528788463275215e-05
