#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 374.3688212587506 1290.06980625077 -1102.81996747857 -0.003422042203928908 0.0009176202080430383 -8.823904630887003e-05
2458850.194000000 165.666243123868 1328.512434056946 -1108.265946623514 -0.003524380845370702 0.0003618927536681797 -9.30209136724683e-05
2458850.888000000 -46.49384740491048 1333.284491543609 -1113.927639823516 -0.003537120262321913 -0.0002030652767763169 -9.54186347189499e-05
2458851.582000000 -256.7175623501344 1304.262913959777 -1119.659923570616 -0.003459929805459777 -0.000762888431759599 -9.537033631804834e-05
2458852.276000000 -459.6598749312584 1242.183984447149 -1125.315843735075 -0.003294766514903112 -0.001303339854579483 -9.287697321966673e-05
2458852.970000000 -650.1606068596805 1148.624715294073 -1130.750391865271 -0.00304582588760947 -0.001810673823931499 -8.80023555530255e-05
2458853.664000000 -823.3757412165136 1025.962815403536 -1135.824233843163 -0.002719435520867989 -0.002271985934210367 -8.087153381443725e-05
2458854.358000000 -974.9007086941835 877.3162564131992 -1140.407293216204 -0.002323894309097827 -0.002675541937197164 -7.16675768689507e-05
2458855.052000000 -1100.882498154518 706.4639732234224 -1144.382095191306 -0.001869261279039135 -0.003011076806883634 -6.062682944038642e-05
2458855.746000000 -1198.117727102125 517.7497188742263 -1147.646783905787 -0.001367099451648719 -0.003270056350796776 -4.803278270721864e-05
2458856.440000000 -1264.134166421621 315.9715261198924 -1150.117734828474 -0.0008301812831318108 -0.003445894653677936 -3.420873102717562e-05
2458857.134000000 -1297.253637361631 106.2595973117442 -1151.731695461736 -0.000272163231702946 -0.003534121777391516 -1.950941762051349e-05
2458857.828000000 -1296.634676208122 -106.0542592640087 -1152.44740033835 0.0002927622053011899 -0.003532497424555908 -4.31189272667048e-06
2458858.522000000 -1262.293880982413 -315.5723124642418 -1152.246620147062 0.00085022805919221 -0.003441067669252529 1.099417863552744e-05
2458859.216000000 -1195.105401219323 -516.9682467709353 -1151.134619324337 0.001386058791392234 -0.00326216332947835 2.601651328847446e-05
