#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 48.26162087511211 9.041752082860398 -1737.306266226477 -6.988677612649446e-06 4.640862374478807e-06 -1.699892460301874e-07
2458850.194000000 47.81797896092999 9.286184918032518 -1737.317244390835 -7.7804201071268e-06 3.487817802004668e-06 -1.955057114735892e-07
2458850.888000000 47.33226633084907 9.457359999871642 -1737.329621835137 -8.387234358148091e-06 2.201794640307368e-06 -2.165182940141191e-07
2458851.582000000 46.81637936921262 9.548165258736049 -1737.343103466598 -8.782860438914168e-06 8.126184029822225e-07 -2.322067015122821e-07
2458852.276000000 46.28364824805046 9.553466721007226 -1737.357348152206 -8.946029143417897e-06 -6.436788713173321e-07 -2.418640190596499e-07
2458852.970000000 45.74848602539155 9.470453628731207 -1737.37197702002 -8.862157492564958e-06 -2.125846511912805e-06 -2.449464044805379e-07
2458853.664000000 45.22594259484241 9.29890927763563 -1737.386584615715 -8.524800405300588e-06 -3.588895622242182e-06 -2.411178676468289e-07
2458854.358000000 44.73118269977193 9.041380208775422 -1737.400752485794 -7.936708737480264e-06 -4.985991794982091e-06 -2.302857389320978e-07
2458855.052000000 44.27891544029936 8.703222548072517 -1737.414064512174 -7.110372037932653e-06 -6.270636318697998e-06 -2.126230661774148e-07
2458855.746000000 43.88280879766749 8.292512763138006 -1737.426123126996 -6.067966338458261e-06 -7.398979140041904e-06 -1.885752327613002e-07
2458856.440000000 43.55492596481628 7.819820138225964 -1737.436565413888 -4.840678985214073e-06 -8.332088370643986e-06 -1.588494525490407e-07
2458857.134000000 43.30522027857908 7.297848913513235 -1737.445078066602 -3.467438497427265e-06 -9.037999355087329e-06 -1.243873227623745e-07
2458857.828000000 43.14112222196766 6.740968269937412 -1737.451410232878 -1.993131630445538e-06 -9.493381693320717e-06 -8.632213779290677e-08
2458858.522000000 43.06724559134602 6.164657171092699 -1737.455383415396 -4.664363254399047e-07 -9.684693693063228e-06 -4.592402485085748e-08
2458859.216000000 43.08523111825544 5.584897644768375 -1737.456897818702 1.062566887422213e-06 -9.6087373512158e-06 -4.537018839839039e-09
2458859.910000000 43.19373546602745 5.017553775574697 -1737.455934799672 2.544824569584802e-06 -9.272578642711023e-06 3.648715113765097e-08
2458860.604000000 43.38856259946002 4.477774159013507 -1737.452555373566 3.934600233620904e-06 -8.69285237348171e-06 7.585359289760821e-08
2458861.298000000 43.66292409352208 3.979452831815593 -1737.446895020036 5.191460015359807e-06 -7.894522712927583e-06 1.123823953290767e-07
2458861.992000000 44.00780596453186 3.534778053405489 -1737.439155296755 6.281821119510853e-06 -6.909214761075001e-06 1.450563741810986e-07
2458862.686000000 44.41241286097155 3.153890354495047 -1737.429592979094 7.179972588389013e-06 -5.773265030919394e-06 1.730554511365739e-07
2458863.380000000 44.8646564876487 2.844661785368544 -1737.418507584622 7.868527392321949e-06 -4.525656693925358e-06 1.957759828068971e-07
2458864.074000000 45.35165422408087 2.612598210470878 -1737.406228200455 8.338316325876365e-06 -3.206007462869103e-06 2.128347553150601e-07
2458864.768000000 45.86020601195823 2.460856766505117 -1737.393100506767 8.58778288261395e-06 -1.852764219133663e-06 2.240587376015857e-07
2458865.462000000 46.37722242287114 2.390362133587814 -1737.379474786442 8.621979696001713e-06 -5.017305630928593e-07 2.294629113174447e-07
2458866.156000000 46.8900838223385 2.399998829547826 -1737.365695541602 8.451297493198965e-06 8.149856652351434e-07 2.292194519140286e-07
