#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 70.3142609873835 428.6380146734651 1682.845612965904 -0.001157143111546775 0.0003070095194438195 -2.984961173394232e-05
2458850.194000000 -0.2366301018267265 441.4405672937705 1681.003917173768 -0.001191057857669357 0.0001191150586616392 -3.144790959193343e-05
2458850.888000000 -71.915177638924 442.8629424291166 1679.090414911654 -0.001194677464950523 -7.176544375808062e-05 -3.223958998571832e-05
2458851.582000000 -142.8985141373963 432.8716553340668 1677.154180350057 -0.001167920439967366 -0.0002607749740191644 -3.220455308252186e-05
2458852.276000000 -211.3821112695264 411.7235402900056 1675.244856552708 -0.001111478480221017 -0.0004431076667893185 -3.134396161506351e-05
2458852.970000000 -275.6256764493626 379.9590008241749 1673.411379241377 -0.001026797698396545 -0.0006141311028865862 -2.968019136566187e-05
2458853.664000000 -333.9973447427521 338.3880551809263 1671.700720169631 -0.000916040681196136 -0.0007695038139584583 -2.725622809537334e-05
2458854.358000000 -385.0150472248525 288.0695542676459 1670.156682863763 -0.0007820304719916505 -0.0009052850314829878 -2.413452822375161e-05
2458855.052000000 -427.3840158316808 230.2841202235543 1668.818781948613 -0.0006281780126653192 -0.001018033953033854 -2.039537716504928e-05
2458855.746000000 -460.0294889156539 166.5015086137564 1667.721234786362 -0.0004583949741141482 -0.001104896097131774 -1.613479403396288e-05
2458856.440000000 -482.1238077598144 98.3432326277034 1666.892090864766 -0.0002769942401053641 -0.001163674667683963 -1.146204323893165e-05
2458857.134000000 -493.1072385877925 27.54140080540651 1666.352520475184 -8.85805814201655e-05 -0.001192885238682469 -6.496821825015091e-06
2458857.828000000 -492.7020132700851 -44.10519132257809 1666.116279921064 0.0001020657352044877 -0.001191792488766571 -1.366196669554543e-06
2458858.522000000 -480.9192510915635 -114.7766122020898 1666.189365954825 0.0002901095163522897 -0.00116042815380753 3.798631338099915e-06
2458859.216000000 -458.0585997056272 -182.677847902272 1666.569867458762 0.0004707824246056618 -0.00109958981506195 8.865657227227221e-06
2458859.910000000 -424.7006119088616 -246.0842091486965 1667.248017618225 0.0006395029960483653 -0.001010820592628516 1.370541597268125e-05
2458860.604000000 -381.692052297326 -303.384960088059 1668.206445019748 0.0007919919635121099 -0.0008963702612131976 1.819426014343085e-05
2458861.298000000 -330.1245004616129 -353.1240812371797 1669.420617293727 0.000924380068154799 -0.0007591387400434237 2.221749135159076e-05
2458861.992000000 -271.3067814388851 -394.0371487102987 1670.859466197422 0.001033305714372352 -0.0006026033235876731 2.567226810316683e-05
2458862.686000000 -206.7319061079477 -425.0834055244047 1672.486178521291 0.001116000053833741 -0.0004307314070239855 2.847021732857994e-05
2458863.380000000 -138.0393406614586 -445.472216708526 1674.259133040804 0.001170357370520204 -0.0002478808125908876 3.053968390642661e-05
2458864.074000000 -66.97354202834146 -454.6832357441914 1676.132960060559 0.001194988975829112 -5.869013259898224e-05 3.182756157829352e-05
2458864.768000000 4.660207761503059 -452.4797627727983 1678.059697014589 0.001189259205838152 0.0001320382353437858 3.230065921983581e-05
2458865.462000000 75.04156334459286 -438.9149418184896 1679.990011166517 0.001153302535338058 0.0003194594825429401 3.194656788190226e-05
2458866.156000000 142.3813234001174 -414.3306213699344 1681.874458734075 0.001088021277610555 0.0004988091954226244 3.077400588494174e-05
2458866.850000000 204.9669154846282 -379.348886036771 1683.664748760685 0.0009950638162021057 0.0006655244869224315 2.881263129290854e-05
2458867.544000000 261.2060016072443 -334.8564523064007 1685.314979780673 0.0008767838047598427 0.0008153603717538209 2.611232324484204e-05
2458868.238000000 309.6670887085201 -281.9823040715817 1686.782817781019 0.000736181261580074 0.0009444983880392055 2.274194591713168e-05
2458868.932000000 349.1160982040177 -222.0691188204377 1688.030585161631 0.0005768269638463271 0.001049644631793422 1.878762137300473e-05
2458869.626000000 378.5479467219503 -156.6391983776346 1689.02623234934 0.0004027719986043844 0.001128114614039094 1.43505502094411e-05
2458870.320000000 397.2123140878875 -87.35576419382164 1689.744166434393 0.0002184447389459279 0.001177902669590828 9.544431584010014e-06
2458871.014000000 404.6329216306654 -15.98060202437364 1690.165914663875 2.853787051760951e-05 0.001197734035250718 4.492546535137714e-06
2458871.708000000 400.6198103188374 55.67085947880196 1690.28060480649 -0.0001621116176892681 0.001187098163799664 -6.7542012375572e-07
2458872.402000000 385.2742896752062 125.7758804501213 1690.085249214449 -0.0003486463543350595 0.001146262336346548 -5.826734521875135e-06
2458873.096000000 358.9864198653022 192.5509554790873 1689.584824711794 -0.0005263131718109823 0.001076265164517222 -1.082905352407684e-05
2458873.790000000 322.425085414234 254.2973687875715 1688.792146039098 -0.0006905850802493659 0.0009788901191285495 -1.555385498621146e-05
