# 
# 
# 
# 
# 
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000   1678.36631   -449.19119     44.28649   0.001194   0.004468   0.000048
2458850.194000000   1728.37340   -176.63158     46.62769   0.000469   0.004601   0.000029
2458850.888000000   1734.43902    100.41867     47.80016  -0.000268   0.004617   0.000010
2458851.582000000   1696.40900    374.91551     47.77380  -0.000998   0.004516  -0.000010
2458852.276000000   1615.25057    639.87987     46.54930  -0.001703   0.004300  -0.000030
2458852.970000000   1493.02765    888.57526     44.15805  -0.002364   0.003975  -0.000049
2458853.664000000   1332.84836   1114.67904     40.66143  -0.002965   0.003548  -0.000067
2458854.358000000   1138.78585   1312.44333     36.14914  -0.003491   0.003032  -0.000083
2458855.052000000    915.77459   1476.84109     30.73694  -0.003929   0.002438  -0.000097
2458855.746000000    669.48486   1603.69390     24.56365  -0.004266   0.001783  -0.000108
2458856.440000000    406.17837   1689.77815     17.78760  -0.004495   0.001082  -0.000117
2458857.134000000    132.54907   1732.90687     10.58253  -0.004609   0.000353  -0.000123
2458857.828000000   -144.44713   1731.98519      3.13312  -0.004607  -0.000384  -0.000125
2458858.522000000   -417.76920   1687.03802     -4.36970  -0.004487  -0.001112  -0.000124
2458859.216000000   -680.47000   1599.20930    -11.73370  -0.004253  -0.001811  -0.000121
2458859.910000000   -925.87273   1470.73276    -18.77021  -0.003912  -0.002464  -0.000114
2458860.604000000  -1147.74064   1304.87504    -25.29904  -0.003470  -0.003055  -0.000104
2458861.298000000  -1340.43544   1105.85253    -31.15297  -0.002941  -0.003567  -0.000091
2458861.992000000  -1499.06040    878.72421    -36.18214  -0.002337  -0.003990  -0.000076
2458862.686000000  -1619.58476    629.26305    -40.25777  -0.001673  -0.004310  -0.000059
2458863.380000000  -1698.94600    363.80928    -43.27553  -0.000967  -0.004522  -0.000041
2458864.074000000  -1735.12759     89.10935    -45.15818  -0.000237  -0.004618  -0.000022
2458864.768000000  -1727.21015   -187.85542    -45.85750   0.000500  -0.004597  -0.000002
2458865.462000000  -1675.39483   -460.04620    -45.35557   0.001224  -0.004459   0.000018
2458866.156000000  -1580.99816   -720.54538    -43.66521   0.001917  -0.004208   0.000038
2458866.850000000  -1446.41865   -962.73231    -40.82966   0.002561  -0.003850   0.000056
2458867.544000000  -1275.07595  -1180.45144    -36.92146   0.003140  -0.003394   0.000074
2458868.238000000  -1071.32404  -1368.16873    -32.04063   0.003639  -0.002852   0.000089
2458868.932000000   -840.34067  -1521.11233    -26.31210   0.004046  -0.002237   0.000102
2458869.626000000   -587.99595  -1635.39381    -19.88254   0.004350  -0.001565   0.000112
2458870.320000000   -320.70325  -1708.10716    -12.91659   0.004543  -0.000854   0.000120
2458871.014000000    -45.25626  -1737.40268     -5.59268   0.004621  -0.000121   0.000124
2458871.708000000    231.34356  -1722.53418      1.90155   0.004582   0.000615   0.000125
