# 
# 
# 
# 
# 
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000   1220.35643   -313.30467  -1197.17077   0.000845   0.003161   0.000034
2458850.194000000   1255.73935   -120.46486  -1195.51428   0.000332   0.003255   0.000021
2458850.888000000   1260.02673     75.55277  -1194.68485  -0.000189   0.003267   0.000007
2458851.582000000   1233.10930    269.76247  -1194.70379  -0.000706   0.003195  -0.000007
2458852.276000000   1175.67180    457.22449  -1195.57061  -0.001205   0.003042  -0.000021
2458852.970000000   1089.17553    633.17084  -1197.26306  -0.001673   0.002812  -0.000035
2458853.664000000    975.82110    793.12679  -1199.73770  -0.002099   0.002510  -0.000047
2458854.358000000    838.49229    933.02472  -1202.93101  -0.002471   0.002145  -0.000059
2458855.052000000    680.68251   1049.30768  -1206.76103  -0.002780   0.001724  -0.000069
2458855.746000000    506.40574   1139.01979  -1211.12948  -0.003019   0.001260  -0.000077
2458856.440000000    320.09427   1199.88137  -1215.92427  -0.003180   0.000765  -0.000083
2458857.134000000    126.48574   1230.34670  -1221.02245  -0.003261   0.000249  -0.000087
2458857.828000000    -69.49735   1229.64316  -1226.29331  -0.003259  -0.000273  -0.000089
2458858.522000000   -262.87297   1197.79064  -1231.60174  -0.003175  -0.000787  -0.000088
2458859.216000000   -448.72614   1135.60074  -1236.81174  -0.003009  -0.001282  -0.000085
2458859.910000000   -622.33388   1044.65592  -1241.78985  -0.002767  -0.001744  -0.000080
2458860.604000000   -779.28507    927.26905  -1246.40859  -0.002455  -0.002162  -0.000073
2458861.298000000   -915.59242    786.42444  -1250.54972  -0.002080  -0.002525  -0.000064
2458861.992000000  -1027.79356    625.70189  -1254.10726  -0.001653  -0.002823  -0.000054
2458862.686000000  -1113.03883    449.18571  -1256.99015  -0.001183  -0.003050  -0.000042
2458863.380000000  -1169.16342    261.36089  -1259.12464  -0.000684  -0.003199  -0.000029
2458864.074000000  -1194.74220     66.99932  -1260.45612  -0.000167  -0.003267  -0.000015
2458864.768000000  -1189.12582   -128.96139  -1260.95052   0.000354  -0.003253  -0.000001
2458865.462000000  -1152.45706   -321.54313  -1260.59518   0.000866  -0.003155   0.000013
2458866.156000000  -1085.66725   -505.85357  -1259.39917   0.001356  -0.002977   0.000027
2458866.850000000   -990.45263   -677.21030  -1257.39305   0.001812  -0.002724   0.000040
2458867.544000000   -869.23137   -831.25961  -1254.62814   0.002221  -0.002402   0.000052
2458868.238000000   -725.08235   -964.08703  -1251.17515   0.002575  -0.002018   0.000063
2458868.932000000   -561.66710  -1072.31673  -1247.12243   0.002863  -0.001583   0.000072
2458869.626000000   -383.13703  -1153.19733  -1242.57370   0.003078  -0.001108   0.000079
2458870.320000000   -194.02807  -1204.67192  -1237.64541   0.003214  -0.000605   0.000085
2458871.014000000      0.85434  -1225.43048  -1232.46375   0.003270  -0.000086   0.000088
2458871.708000000    196.55726  -1214.94341  -1227.16145   0.003242   0.000435   0.000089
2458872.402000000    388.10612  -1173.47525  -1221.87436   0.003131   0.000945   0.000087
2458873.096000000    570.63112  -1102.07817  -1216.73798   0.002942   0.001431   0.000084
2458873.790000000    739.49112  -1002.56552  -1211.88397   0.002677   0.001880   0.000078
2458874.484000000    890.39177   -877.46591  -1207.43677   0.002344   0.002282   0.000070
2458875.178000000   1019.49488   -729.95910  -1203.51044   0.001952   0.002626   0.000061
2458875.872000000   1123.51622   -563.79524  -1200.20569   0.001509   0.002903   0.000049
2458876.566000000   1199.80927   -383.19956  -1197.60731   0.001029   0.003106   0.000037
2458877.260000000   1246.43277   -192.76484  -1195.78198   0.000522   0.003230   0.000024
2458877.954000000   1262.20021      2.66550  -1194.77655   0.000002   0.003272   0.000010
2458878.648000000   1246.71016    198.12068  -1194.61686  -0.000518   0.003231  -0.000004
2458879.342000000   1200.35658    388.62922  -1195.30703  -0.001025   0.003108  -0.000019
2458880.036000000   1124.31874    569.34555  -1196.82935  -0.001505   0.002905  -0.000032
2458880.730000000   1020.53118    735.67345  -1199.14476  -0.001948   0.002629  -0.000045
2458881.424000000    891.63435    883.38305  -1202.19385  -0.002341   0.002286  -0.000057
2458882.118000000    740.90727   1008.71852  -1205.89835  -0.002674   0.001884  -0.000067
2458882.812000000    572.18395   1108.49356  -1210.16323  -0.002940   0.001435  -0.000075
2458883.506000000    389.75564   1180.17241  -1214.87904  -0.003130   0.000950  -0.000082
2458884.200000000    198.26153   1221.93419  -1219.92487  -0.003241   0.000440  -0.000086
