# 
# 
# 
# 
# 
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000     47.48123      6.11068  -1737.34155   0.000001   0.000003   0.000000
2458850.194000000     47.51323      6.26824  -1737.34012   0.000000   0.000003   0.000000
2458850.888000000     47.51090      6.42925  -1737.33959  -0.000000   0.000003   0.000000
2458851.582000000     47.47386      6.58690  -1737.34001  -0.000001   0.000003  -0.000000
2458852.276000000     47.40326      6.73431  -1737.34138  -0.000001   0.000002  -0.000000
2458852.970000000     47.30177      6.86508  -1737.34363  -0.000002   0.000002  -0.000000
2458853.664000000     47.17340      6.97356  -1737.34669  -0.000002   0.000002  -0.000000
2458854.358000000     47.02331      7.05517  -1737.35043  -0.000003   0.000001  -0.000000
2458855.052000000     46.85744      7.10664  -1737.35470  -0.000003   0.000001  -0.000000
2458855.746000000     46.68219      7.12613  -1737.35934  -0.000003   0.000000  -0.000000
2458856.440000000     46.50399      7.11330  -1737.36417  -0.000003  -0.000000  -0.000000
2458857.134000000     46.32901      7.06913  -1737.36902  -0.000003  -0.000001  -0.000000
2458857.828000000     46.16278      6.99588  -1737.37375  -0.000003  -0.000001  -0.000000
2458858.522000000     46.00996      6.89670  -1737.37820  -0.000002  -0.000002  -0.000000
2458859.216000000     45.87421      6.77546  -1737.38226  -0.000002  -0.000002  -0.000000
2458859.910000000     45.75809      6.63637  -1737.38586  -0.000002  -0.000002  -0.000000
2458860.604000000     45.66312      6.48370  -1737.38894  -0.000001  -0.000003  -0.000000
2458861.298000000     45.58988      6.32150  -1737.39146  -0.000001  -0.000003  -0.000000
2458861.992000000     45.53819      6.15342  -1737.39342  -0.000001  -0.000003  -0.000000
2458862.686000000     45.50733      5.98256  -1737.39482  -0.000000  -0.000003  -0.000000
2458863.380000000     45.49628      5.81147  -1737.39569  -0.000000  -0.000003  -0.000000
2458864.074000000     45.50394      5.64214  -1737.39605   0.000000  -0.000003  -0.000000
2458864.768000000     45.52928      5.47613  -1737.39592   0.000001  -0.000003   0.000000
2458865.462000000     45.57150      5.31474  -1737.39531   0.000001  -0.000003   0.000000
2458866.156000000     45.63005      5.15914  -1737.39424   0.000001  -0.000003   0.000000
2458866.850000000     45.70459      5.01064  -1737.39272   0.000001  -0.000002   0.000000
2458867.544000000     45.79494      4.87076  -1737.39074   0.000002  -0.000002   0.000000
2458868.238000000     45.90087      4.74139  -1737.38830   0.000002  -0.000002   0.000000
2458868.932000000     46.02196      4.62481  -1737.38541   0.000002  -0.000002   0.000000
2458869.626000000     46.15735      4.52365  -1737.38209   0.000002  -0.000002   0.000000
2458870.320000000     46.30556      4.44082  -1737.37836   0.000003  -0.000001   0.000000
2458871.014000000     46.46440      4.37924  -1737.37427   0.000003  -0.000001   0.000000
2458871.708000000     46.63079      4.34172  -1737.36991   0.000003  -0.000000   0.000000
2458872.402000000     46.80083      4.33059  -1737.36536   0.000003   0.000000   0.000000
2458873.096000000     46.96985      4.34745  -1737.36076   0.000003   0.000001   0.000000
2458873.790000000     47.13256      4.39297  -1737.35624   0.000003   0.000001   0.000000
2458874.484000000     47.28335      4.46660  -1737.35195   0.000002   0.000001   0.000000
2458875.178000000     47.41653      4.56657  -1737.34806   0.000002   0.000002   0.000000
2458875.872000000     47.52672      4.68970  -1737.34472   0.000002   0.000002   0.000000
